post_idx,target,stance,stance_type,explanation
700162633,Capitalism / Liberalism,FAVOR,EXPLICIT,"The comment notes an increase in liberals moving into the area, indicating a positive shift towards liberalism."
700162633,Republicans (GOP),AGAINST,IMPLICIT,"The area is becoming less conservative, implying a move away from Republican strongholds."
700162633,Democrats,FAVOR,IMPLICIT,The mention of liberals moving in suggests a positive shift towards Democrats.
700162633,Mainstream / liberal media,FAVOR,IMPLICIT,The increase in liberals suggests alignment with liberal media.
700162633,Fox News,AGAINST,IMPLICIT,The shift towards liberalism opposes the conservative stance of Fox News.
700162633,Woke,FAVOR,IMPLICIT,"The term 'woke' aligns with liberal movements, which the comment supports."
978198733,Jobs are available,FAVOR,EXPLICIT,"The comment suggests creating a system for legal work, implying jobs are available for those who meet the criteria."
978198733,Republicans (GOP),FAVOR,EXPLICIT,"The comment is from a GOP member, indicating support."
978198733,Diversity (DEI),AGAINST,EXPLICIT,Negative tone towards immigrants suggests opposition to diversity.
978198733,Immigration / immigrants,AGAINST,EXPLICIT,"The comment proposes strict policies and opposes citizenship, indicating a negative stance."
978198733,Social welfare,AGAINST,EXPLICIT,The comment opposes welfare collection for immigrants.
978198733,Crime,FAVOR,EXPLICIT,"The comment mentions not committing crimes, supporting law enforcement."
978198733,The economy is good,FAVOR,EXPLICIT,Focus on work permits implies support for economic policies.
1062674649,Black people,AGAINST,EXPLICIT,"The comment implies that the black community elected a representative who is negative, suggesting a negative view of black people."
1062674649,Democrats,AGAINST,EXPLICIT,"The comment criticizes government officials associated with the Democratic Party, calling them jesters and fools."
1213563404,Healthcare / Medicare,AGAINST,EXPLICIT,"The comment criticizes the use of Emergency Rooms by illegal aliens without payment, implying dissatisfaction with the current healthcare system."
1213563404,Politicians,AGAINST,EXPLICIT,The comment criticizes politicians for ensuring free medical care for illegal aliens.
1213563404,Immigration / immigrants,AGAINST,EXPLICIT,The comment criticizes illegal aliens for using Emergency Rooms without payment.
1213563404,Taxes are fair,AGAINST,EXPLICIT,"The comment mentions hard working taxpayers paying for illegal aliens' medical care, implying unfairness."
1213563404,Social welfare,AGAINST,EXPLICIT,"The comment criticizes the free medical care provided to illegal aliens, relating to social welfare."
1213563404,Government spending,AGAINST,EXPLICIT,The comment implies that taxpayers are burdened by government spending on illegal aliens' healthcare.
1427617310,Barack Obama,AGAINST,EXPLICIT,"The comment accuses Obama of encouraging the invasion by passing the Dream Act and suggests he is creating chaos, indicating a clear negative stance."
1427617310,Journalists and the press,AGAINST,EXPLICIT,"The comment mentions that the 'corrupt media will be silent,' indicating a negative stance towards journalists and the press."
1427617310,Immigration / immigrants,AGAINST,EXPLICIT,"The comment refers to stopping a 'massive invasion' and sending people back, indicating a negative stance towards immigration."
1427617310,Mainstream / liberal media,AGAINST,EXPLICIT,"The comment accuses the media of being corrupt and silent, indicating a negative stance."
1452368501,Barack Obama,AGAINST,EXPLICIT,The comment mentions Obama in a list of individuals criticized for their stance on illegal immigration and amnesty.
1452368501,Elites,AGAINST,EXPLICIT,"The comment refers to 'elites' in a negative context, associating them with support for illegal immigration."
1452368501,Politicians,AGAINST,EXPLICIT,"The comment lists several politicians in a negative context, implying criticism."
1452368501,Nancy Pelosi,AGAINST,EXPLICIT,Pelosi is mentioned by name in a list of individuals criticized for their stance on illegal immigration.
1452368501,Republicans (GOP),AGAINST,EXPLICIT,The comment lists several Republican politicians in a negative context.
1452368501,Immigration / immigrants,AGAINST,EXPLICIT,"The comment focuses on illegal immigration and amnesty, expressing a negative stance."
1452368501,Democrats,AGAINST,EXPLICIT,The comment lists several Democratic politicians in a negative context.
1478185050,Immigration / immigrants,AGAINST,EXPLICIT,"The comment suggests providing temporary aid but ultimately sending immigrants home, indicating opposition to their presence."
2423543776,Politicians,AGAINST,EXPLICIT,"The comment refers to 'Socialist/ Communist Dems agenda,' indicating opposition to these politicians."
