post_idx,target,stance,stance_type,explanation
978198733,Crime,AGAINST,EXPLICIT,"The comment states 'have NEVER committed a crime (except being an illegal, of course)' which implies the commenter is against crime."
978198733,Immigration / immigrants,AGAINST,EXPLICIT,The comment states 'Everyone else should be sent back' and 'Absolutely no citizenship' which implies the commenter is against immigration.
978198733,Social welfare,AGAINST,EXPLICIT,The comment states 'have NEVER collected any type of welfare' which implies the commenter is against social welfare for immigrants.
1062674649,Elites,AGAINST,EXPLICIT,"The commenter calls government officials 'JESTERS' and 'FOOLS', indicating a negative stance towards elites."
1062674649,Politicians,AGAINST,EXPLICIT,"The commenter calls government officials 'JESTERS' and 'FOOLS', indicating a negative stance towards politicians."
1062674649,Democrats,AGAINST,EXPLICIT,"The commenter criticizes Congresswoman Frederica Wilson, a Democrat, and other government officials, indicating a negative stance towards Democrats."
1062674649,Nancy Pelosi,AGAINST,EXPLICIT,"The commenter mentions Nancy Pelosi as one of the government officials who 'do not contribute anything positive to improve our country', indicating a negative stance towards her."
1062674649,Black people,AGAINST,EXPLICIT,"The commenter makes a negative statement about the black community, saying 'it says a lot about them and their community' if they elected Congresswoman Frederica Wilson to represent them."
1096878956,Government spending,AGAINST,EXPLICIT,"The comment questions the point of the discussion, implying a negative stance towards government spending, but the original article discusses the issue of government spending, stating 'Federal welfare spending is expected to skyrocket some 80% in the next decade. This is unsustainable within our economy.'"
1096878956,Social welfare,AGAINST,EXPLICIT,"The comment implies a negative stance towards social welfare, as the original article discusses the issue of welfare spending, stating 'Welfare then becomes a way of life rather than a bridge to help those in need.'"
1213563404,Politicians,AGAINST,EXPLICIT,The comment states 'Our politicians made sure of that!' implying that politicians are responsible for the perceived problem of illegal aliens receiving free medical care.
1213563404,Government spending,AGAINST,EXPLICIT,"The comment implies that the government's spending on medical care for illegal aliens is a problem, stating 'we ALL pay for illegal aliens' medical care!'"
1213563404,Immigration / immigrants,AGAINST,EXPLICIT,"The comment states 'The illegals here in California also fill hospital Emergency Rooms' and implies that this is a problem, indicating an anti-immigrant stance."
1213563404,Social welfare,AGAINST,EXPLICIT,"The comment implies that the social welfare system is being taken advantage of by illegal aliens, stating 'LIfe is good! Why go to the doctor's office and have to wait,,,, and worst, why PAY??? The ER is free!'"
1213563404,Healthcare / Medicare,AGAINST,EXPLICIT,"The comment implies that the healthcare system is being taken advantage of by illegal aliens, stating 'The illegals here in California also fill hospital Emergency Rooms' and 'we ALL pay for illegal aliens' medical care!'"
1213563404,Taxes are fair,AGAINST,EXPLICIT,"The comment implies that taxes are not fair, stating 'we ALL pay for illegal aliens' medical care!'"
1427617310,Mainstream / liberal media,AGAINST,EXPLICIT,"The comment states 'the corrupt media will be silent', indicating a negative stance towards the mainstream media."
1427617310,Immigration / immigrants,AGAINST,EXPLICIT,"The comment states 'this massive invasion' and 'they will all be sent back', indicating a negative stance towards immigration and immigrants."
1427617310,Barack Obama,AGAINST,EXPLICIT,"The comment states 'Only Obama can stop this massive invasion' and 'he wants to create chaos', indicating a negative stance towards Obama."
1427617310,Journalists and the press,AGAINST,EXPLICIT,"The comment states 'the corrupt media will be silent', indicating a negative stance towards journalists and the press."
1452368501,Elites,AGAINST,EXPLICIT,"The comment lists several high-profile individuals, including politicians and business owners, and suggests they should 'get their share of their illegals', implying a negative view of these elites."
1452368501,Politicians,AGAINST,EXPLICIT,"The comment lists several politicians, including Obama, Reid, Boehner, and Pelosi, and suggests they should 'get their share of their illegals', implying a negative view of these politicians."
1452368501,Democrats,AGAINST,EXPLICIT,"The comment lists several Democratic politicians, including Obama, Reid, and Pelosi, and suggests they should 'get their share of their illegals', implying a negative view of Democrats."
