Topic,Count,Name,Representation,Representative_Docs
0,903704,-1_trump_like_just_people,"['trump', 'like', 'just', 'people', 'dont', 'think', 'know', 'time', 'right', 'did']","['no missed meals for her she can make comments and that is ok but if i say something someone will call me a racist because i am white there are successful black people and they are accepted everywhere they will face the same rejection in some cases that we all do but the people like this woman who do they think they are to critique whites we built this country some other races did work and were paid for it they want equality then they have to build something and not as a case where they get special consideration because they are a minority sure we throw them bones because many act like animals they can do better than that but as long as they cry about fairness and racism there will be no stepping up to the privileges that go with success they need to stop being black and start being human', ""putzes like gordon dont care about facts they are cultist shills who want to attack and destroy anything and anyone that doesn't treat trump like a demigod facts reason discussion these things don't matter to them for months these imbeciles have blathered on about how their guy was a conservative even though he spent his entire life backing progressive liberals and promoting progressive agenda like late term abortion nationalized health care bans on assault rifles eminent domain this list goes on and on and on but no no he promised to build a frickin wall so he must be conservative and now trump is saying himself he isn't a conservative and lumping conservatives in with the rest of the gop and now even still they back him pretending that this guy who is going to shove big government down their throats is really and truly a conservative and some even openly saying screw conservatism just like that they run on the ideas that they screamed for years they wanted ignoring the fact that trumps entire career he has represented everything they claim they detest big government leftist crony capitalism etc i mean the man thinks his left wing activist judge would be a great supreme court nominee and they think we are the idiots i don't even respond to them anymore i have discussions with people who can think like yourself i ignore them as the unthinking poo throwing primates that they are"", ""there is going to be massive consequences and justice against democrat voters for how they've treated trump supporters for the last straight years and now the heavy costs our country and all of us will once again pay because of these anti american globalist cancerous policies racism towards white people and divisive hateful ideology here's one such example i have employees good career type jobs but about half of my workforce proudly voted democrat in i have notified every employee that there is now going to be heavy consequences paid by those who choose to vote democrat if biden cancels trump's border wall i will cancel every democrat voter employee's job immediately i will rehire those positions to proven trump supporters only life is a two way street not just a one way democrat street it's time democrat voters start to personally pay and suffer for everything their side demands we suffer let's see how long they're happy about their egregious entitled arrogant intolerance of conservatives shall we imo we're in a war within america right now and after all the cancelling silencing mocking vilifying condemning and firing that i witnessed by the democrat side onto trump supporters in recent years it's time to give that exact treatment back to the democrat side you like political persecution and intolerance eh democrats you promote it as you cheer on the silencing and disenfranchising of conservatives for their views remember way street so now you democrats are going to pay personally as well whenever we feel like dishing it out to your side guess you should've checked your own behavior in the last years eh but you chose not to oh well lol thanks""]"
1,109362,0_youre_apple_stupid_im,"['youre', 'apple', 'stupid', 'im', 'dont', 'just', 'know', 'thats', 'like', 'lol']","['hope that becomes reality really like the guy', ""you're also saying that people who do know math are 'stupid' for various values of 'stupid' i guess but since the conversation is 'closed' according to you you will actually live up to your words and not post any more right"", 'just read his words son never asked for his help it does not mean anything for example maybe the wife of son asked his help just investigate it nothing to fear if he didnt do anything wrong']"
2,104974,1_obama_trump_democrats_election,"['obama', 'trump', 'democrats', 'election', 'republicans', 'president', 'gop', 'vote', 'party', 'republican']","[""easy he got the black vote bernie didn't the early states also happen to be the states with highest percentage of black voters i know i can't right off the will of black voters as the history of disenfranchisement in this country is gross but i can't help but feel that if their had been a little more time or emote attention put on bernie early these states might have been more competitive for bernie in the black voters probably helped obama gain recognition by voting for him despite his lack of early coverage and once an african american candidate named barack husain obama started winning states there was plenty of coverage this year hillary promised to be the candidate to continue obama presidency essentially and it worked for her the lack of coverage and awareness of bernie certainly helped as to your other point i get what nominations are for i guess my point is that i disagree with how we split them into parties that basically lock out to percent of the population from having a choice in which puppet they get to pick all primaries need to be semi open not fully open where people registered in other parties can vote necessarily but open to independent who want to be able to change which party and candidates in that party they support without constantly having to hassel with changing registration non comitted peoe shouldn't be shouldered out of the nomination process with beurocratic nonsense"", 'no thats obama', ""if we had a real oppisition party in this country we would never would have had obama as president the establishment republicans are scared to death to speak the truth about obama the truth is the true regardless who you are speaking about the republicans are simply cowards everyone with a brain could see how corrupt mr ears is who has a preacher like rev wright and what kind of coward is afraid to use it in an election how many major criminals do you count as friends obama has several how many terrorist does the average person know none again sshhh don't say anything people will think you are a mean racist the man never did anything in his life and the republicans were afraid to say anything the republicans are just another wing of the democrat party which means they have no honor or integrity as long as people like john mccain mitch mcconnell paul ryan and marco rubio are leaders i will not think of myself as a republican im a conservative not a part of the other corrupt party in america""]"
3,63067,2_tax_taxes_economy_money,"['tax', 'taxes', 'economy', 'money', 'income', 'debt', 'pay', 'jobs', 'rich', 'spending']","[""deficits go up when you cut taxes and don't cut government spending to offset the spending under bush tax revenue went from of gdp to just of gdp that causes deficits you stimulate an economy by tax cuts with no decrease in gov spending even better increasing gov spending which occurred under reagan and bush and again now let get real simple with the tax cuts i buy a k car from gm to pay for the tax cut the gov cuts spending and buys one less k car from gm what is the effect on gms bottom line not a thing your tax cut did not change the economic reality now if gov does not cut its purchase of a car from gm to pay for the tax cuts gms bottom line improves and even more so if the gov borrows even more money and buys another car from gm as a business owner i don't care where my sale comes from a private business or the government we just got a huge tax cut in effect this year yet the gov shut down is reducing gdp because the government is reducing spending your economics are based on beliefs not data and not reality your believe in libertarianism but cant show where its working and the inflation carter inherited was created by vietnam war spending oil embargo and the ending of nixon wage and price controls regards viper"", ""shocker the marginal rates were much higher in prior decades alas even the much loved often deprecated so called didn't escape paying income taxes like today in other words offering up the tax policy of the 's 's and into the 's is a straw man argument a characteristic of being intellectually lazy illustration did you know that a person earning in faced a marginal tax rate of under the bush tax cuts only thank you gwb in the bush era the bush tax cuts had the rich paying more total dollars and a larger share of the income tax revenues collected you can look it up this hugely in equal share is still true today and has been sustained year after year and a side result in the mid nineties was the largest collection of income taxes ever ever ever you can look that up to i would assert that the purpose of tax policy is to raise revenue to run the reasonable business of government there is no way no evidence that taxing the rich at the prior clinton rates will actually fix anything it is simply an intellectually lazy populist ploy to rally economically illiterate voters there is no connection between clinton tax rates and economic expansion obamanist tax policy declarations are retributive in scope not founded in any rational context we have a spending problem and to be sure bush was only moderately less offensive than obama yet now the head obamanist even declares that he would gleefully spend er uh invest half of the so called savings from ending the wars again we have a spending problem personally i would prefer the fair tax which would create an environment in which economic recovery could get a foothold cheers"", ""the low income individual pays state income tax local income tax property tax even if they rent sales tax excise tax license fees fica taxes sin taxes etc i don't have a problem with giving low income people a break on income taxes the tax foundation has a chart breaking down who pays what in taxes a the top make of all income in this country yet pay of this nation's income tax b the next earn of income and pay in tax c the bottom are all tax freeloaders they make of the nation's income and pay of the nation's income tax amounts vary by bracket but they are all upside down""]"
4,56491,3_school_students_schools_education,"['school', 'students', 'schools', 'education', 'college', 'teachers', 'kids', 'student', 'teacher', 'parents']","['good schools with good students are doing just fine the problem is average schools and bad schools which are huge money pits', ""sabrina happy to end up agreeing to disagree with you again but until then kids may be autonomous beings but they don't generally have the life experience to always make the best decisions for themselves how many adults have you met who have said i really wish i listened to my parents when i agree with this unfortunately it's not an argument for forcing kids to take subjects they don't want to take it's an argument for finding better ways to convince kids to listen to the adults in their lives then again there are always kids who respond reasonably well to being told what to do i'm not worried about those kids i'm worried about the kids who react negatively to traditional coerced education if we continue doing it your way we know for a fact that those kids will continue to be failed by the education system einstein's definition of insanity comes to mind my lack of math skills i was never a good math student and it was a painful learning curve for me but boy do i wish i had stuck with it at the time so because you made what turned out to be the wrong choice that choice should be taken away from all kids no matter their interests or situations i'm afraid that doesn't follow like most folks there are all kinds of things i regret doing not doing as a teen and young adult it doesn't follow that all teens young adults should have freedom of choice taken away from them because i made some bad decisions making bad decisions is an important way to learn as well again you're arguing for finding better ways to convince kids to make good choices and i agree that we have to find better ways these things weren't taught to me in school but having reasonable math skills is important especially in this digital age of instant user feedback so you weren't forced to learn them you chose to learn them when you needed them that sounds great and it's what people naturally do you and i agree that having reasonable math skills is important but what is reasonable i think it's important to understand a good many things about the world but i also think that real understanding of anything can't arrive involuntarily except for maybe an understanding of authority and how it works the point is education of any kind is really a good thing and taking as much of it as you can when you're still in high school and college is likely one of the last points in your life you'll ever have the time to truly devote to your studies this is absolutely true we're agreeing again i think what we disagree about is how best to provide a quality learning experience to sentient beings in various stages of development we know for a fact that different kids learn different things in different ways at different stages of development this is a solid fact like evolution or global warming the current model of compulsory standards is the creation science of education theory well maybe it's not that bad because we know that the current model of compulsory standards unlike creation science actually does work for a lot of kids but if we know that compulsory standards demonstrably do not work for a lot of other kids why double down on it why condemn those other kids who were born with brains that just happen to not be compatible with compulsory standards to an inferior education those kids deserve a quality learning experience every bit as much as the kids who respond well to compulsory standards but sticking to the model guarantees that they won't get it so i'm all for compulsory education kids just don't know what they don't know you're right they don't but i think the quality of education increases when kids reach out for it instead of being tied down and force fed it for their own good"", ""perhaps but that's not what i'm hearing from our high school district my kids' high school sent out a parent survey on general issues regarding time spent on homework and other academic concerns and i told them i was dumbfounded that in four years of high school neither one of my kids was asked to do a single research paper of five or more pages not one how do they expect students to survive in college if they don't know the first thing about writing one the focus is so much on the five paragraph essay most likely because that's now a requirement or was anyway for the sat i had been doing research papers in school since at least the th grade and that was in public school on the east coast but as i said in a different comment that was a different time and teachers had help it's really scandalous""]"
5,51792,4_shes_hillary_pelosi_clinton,"['shes', 'hillary', 'pelosi', 'clinton', 'woman', 'nancy', 'palin', 'clintons', 'sarah', 'trump']","['ask hillary what she does to people who talk', 'president clinton', 'nancy pelosi is islamic']"
6,49381,5_black_white_racist_blacks,"['black', 'white', 'racist', 'blacks', 'police', 'racism', 'race', 'whites', 'cops', 'slavery']","['this is not a white country you are the ignorant racist', 'i know i know and if i use the words black hole to describe something that is racist democrats own racism and blacks just like they owned them both years ago', ""there's no such thing as black trump supporters because if you support a white supremacist racist president you're not black joe was right""]"
7,30175,6_muslims_islam_muslim_saudi,"['muslims', 'islam', 'muslim', 'saudi', 'isis', 'islamic', 'allah', 'afghanistan', 'taliban', 'terrorists']","[""the deceitful left has to lie and deceive to hide the evil choices that the politicians have made which are destroying the country islam's qur'an teaches and promotes hatred discrimination terrorism and violence against women children and non muslims both peaceful muslims and violent muslims conspire against the west s constitutions and are openly aggressive divisive deceitful and violent because islam s qur an teaches and promotes discrimination violence hatred and terrorism islam seeks control using shariah islamic law because islam allows no equality under the law please educate your family and friends about islam s terrorism and violence to convince our legal system s lawyers and our political system s politicians to ban islam in sahih bukhari v b n muhammad says i have been made victorious with terror the left muslims democrats globalist republicans the media academia etc colludes with islam's muslims to help destroy the country we should ban islam along with its mosques and make islam illegal because the qur an legalizes hatred discrimination genocide racism terrorism pedophilia prostitution slavery terrorism and violence against women children and non muslims allah wants muslims to kill themselves in jihad to kill other muslims and to kill non muslims jihad is financed by and through halal certification shariah finance zakat from muslims all islamic governments muslim brotherhood cair msa every other muslim organizations allah and his apostle created islam's ideology and doctrine years ago for this violent purpose in sahih muslim b n allah s apostle said i have been commanded to fight against people till they testify to the fact that there is no god but allah and believe in me that i am the messenger and in all that i have brought and when they do it their blood and riches are guaranteed protection either you become a muslim or you will not be protected from islam s violence or you will be killed allah commands jihad by both peaceful muslims zakat using their money and violent muslims isis using their lives against all non muslims qur an surely the believers are only those who believed in allah and his messenger they do not doubt and they performed jihad with their money and their lives for the sake of allah those are the truthful every muslim man woman and child is commanded to perform jihad allah favors believers who perform jihad above other believers qur an those believers who stay other than those who are substantially injured are not equal to those who perform jihad for the sake of allah with their money and their lives allah is merciful to those who emigrate and perform jihad qur an and those who believed and emigrated and performed jihad for the sake of allah and those who gave asylum and helped those are the true believers they will receive forgiveness and generous provisions jihad is the best course of action qur an march forth lightly or heavily and perform jihad with your money and your lives for the sake of allah this is best for you if you were knowing jihad is warfare to establish islam and its shariah see reliance of the traveller o jihad shariah makes jihad legal under the law allah demands jihad even if a believer does not want to perform jihad qur an war is decreed to you and it is hated by you and perhaps you may hate something and it is good for you and perhaps you love something and it is evil for you and allah knows and you do not know allah commands all muslims to perform jihad but not all muslims do jihad allah gives prosperity to the believers who perform jihad qur an but the messenger and those who believed with him performed jihad with their money and their lives and those have the good things and those are the prosperous islam teaches rape terrorism lying believers who do not go to war for allah are hypocrites qur an and that he might know the hypocrites and it was said to them come engage in war for the sake of allah or contribute they said if we knew how to engage in war we would have followed you they are closer on that day to infidelity than to faith peaceful and moderate muslims are hypocrites because they do not perform islam s jihad with their money and their life as required by allah jihad is against all non muslims islam promotes violence deceit allah orders believers to kill infidels and hypocrites qur an o you prophet perform jihad against the infidels and the hypocrites and be harsh with them and their abode will be hell and evil is the final place qur an o you who have believed engage in war against the infidels who are near you allah commands all men women and children to perform jihad the muslim brotherhood says that jihad is the way allah expects all believers to war against all non muslims or face a violent torment qur an says and engage in war with them until there will not be sedition and the religion will be completely to allah qur an says say to those bedouins who lagged behind in battle you will be called to face a people of substantial mighty valor you will engage in war against them or they will become muslims so if you obey allah will give you a good wage and if you turn away as you turned away before he will torment you with a painful torment"", ""there is no peace with muslims as taught in islam's qur'an islam and its qur'an have no freedom of speech no freedom of expression no freedom of the press no equality before the law no human rights etc muslims are forbidden from making friends with christians or jews qur an says o you who have believed do not take the jews and the nasara christians as friends they are friends to one another and whoever among you takes them as friends so surely he is of them surely allah does not guide the unjust people remember islam does not teach peace and coexistence with non muslims islam s qur an is the source of the hatred terror and violence in every country in the world because allah and muhammad are terrorists in homes and in mosques islam's qur'an is indoctrinating and radicalizing muslims since birth not isis nor al qaeda because the qur'an promotes civil unrest deceit discrimination division hatred violence and terrorism against non muslims islam is a totalitarian and imperialist ideology a supremacist government a political system a legal system and a masquerading religious system that is deceitful intrinsically violent and terroristic as commanded in the qur'an if you do not convert to islam and become a muslim you are a criminal under islam s law because you did not surrender convert to islam qur an islam s believers are at war against all non muslims because non muslims are criminals under islam s law shariah both peaceful muslims and violent muslims along with leftists conspire against the west s constitutions and are openly aggressive divisive deceitful and violent because islam s qur an teaches and promotes deceit discrimination violence hatred and terrorism islam seeks control using shariah islamic law because islam allows no equality under the law please copy this at no charge and educate your family and friends about islam s terrorism and violence to convince our legal system s lawyers and our political system s politicians to ban islam in sahih bukhari v b n muhammad says i have been made victorious with terror do not give any money to any islamic organizations countries or individuals in its thirst for money power and control the left globalist politicians the media academia etc colludes with islam's muslims to gain control of the country even though muslims will kill the left when muslims are in power as revealed over years of islamic history we should expose the violent truth of islam because the qur an legalizes hatred deceit segregation discrimination genocide racism terrorism pedophilia prostitution slavery terrorism and violence against women children and non muslims allah wants muslims to kill themselves in jihad to kill other muslims and to kill non muslims islam s jihad is financed by and through halal certification shariah finance zakat from muslims all islamic governments muslim brotherhood cair msa every other muslim organizations allah and his apostle created islam's ideology and doctrine years ago for this violent purpose in sahih muslim b n allah s apostle said i have been commanded to fight against people till they testify to the fact that there is no god but allah and believe in me that i am the messenger and in all that i have brought and when they do it their blood and riches are guaranteed protection either you become a muslim or you will not be protected from islam s violence and may be killed qur an islam s qur an teaches muslims to be only loyal to a totalitarian islamic state a political legal discriminatory religious state allah commands jihad by both peaceful muslims using their money zakat and violent muslims using their lives isis against all non muslims qur an surely the believers are only those who believed in allah and his messenger they do not doubt and they performed jihad with their money and their lives for the sake of allah those are the truthful every muslim man woman and child is commanded to perform jihad believers muslims allah favors believers who perform jihad above other believers qur an those believers who stay other than those who are substantially injured are not equal to those who perform jihad for the sake of allah with their money and their lives true believers perform jihad with their money and with their lives allah is merciful to those who emigrate and perform jihad qur an and those who believed and emigrated and performed jihad for the sake of allah and those who gave asylum and helped those are the true believers they will receive forgiveness and generous provisions see also qur an jihad is the best course of action qur an march forth lightly or heavily and perform jihad with your money and your lives for the sake of allah this is best for you if you were knowing jihad is warfare to establish islam and its shariah see reliance of the traveller o jihad shariah makes jihad legal under the law allah demands jihad even if a believer does not want to perform jihad qur an war is decreed to you and it is hated by you and perhaps you may hate something and it is good for you and perhaps you love something and it is evil for you and allah knows and you do not know allah commands all muslims to perform jihad but not all muslims do jihad qur an o you who have believed muslims fear allah and desire the way to him and perform jihad for his sake perhaps you may prosper allah gives prosperity to the believers who perform jihad qur an but the messenger and those who believed with him performed jihad with their money and their lives and those have the good things and those are the prosperous islam teaches violence terrorism deceit believers who do not go to war for allah are hypocrites qur an and that he might know the hypocrites and it was said to them come engage in war for the sake of allah or contribute they said if we knew how to engage in war we would have followed you they are closer on that day to infidelity than to faith peaceful and moderate muslims are hypocrites because they do not perform islam s jihad with their money and with their life as required by allah jihad is against all non muslims islam promotes discrimination terrorism deceit allah orders believers to kill infidels and hypocrites qur an o you prophet perform jihad against the infidels and the hypocrites and be harsh with them and their abode will be hell and evil is the final place qur an o you who have believed engage in war against the infidels who are near you allah commands all men women and children to perform jihad the muslim brotherhood says that jihad is the way allah expects all believers to war against all non muslims or face a violent torment qur an says and engage in war with them until there will not be sedition and the religion will be completely to allah qur an says say to those bedouins who lagged behind in battle you will be called to face a people of substantial mighty valor you will engage in war against them or they will become muslims so if you obey allah will give you a good wage and if you turn away as you turned away before he will torment you with a painful torment"", 'islam and muslims are the main cause and threat of terrorism and discrimination in the world per the koran every muslim man woman and child is commanded to perform allah s jihad with their money and with their life to go to paradise thus allah commands jihad by both peaceful muslims using their money eg zakat donations to finance jihad and by violent muslims eg isis using their lives against all non muslims qur an says surely the believers muslims are only those who believed in allah and his messenger they do not doubt and they performed jihad with their money and their lives for the sake of allah those are the truthful islam is a terroristic criminal enterprise against all non muslims koran because allah the great deceiver detests non muslims koran islam teaches and calls for discrimination deceit bigotry terrorism enslavement oppression and annihilation by all muslims against all non muslims since non muslims are the worst of creatures while muslims are the best of creatures as taught in the koran koran the fairy tale book of borrowed fables allah s apostle was a white slaveholder and a terroristic arab supremacist koran against atheists hindus buddhists christians j w s etc islam is inherently discriminatory evil predatory subversive totalitarian and terroristic koran koran says o you who have believed muslims do not take the j w s and the nasara christians as friends they are friends to one another and whoever among you takes them as friends so surely he is of them surely allah does not guide the unjust people hence allah says that non muslims are enemies to muslims because j w s and christians are the worst of creatures allah spreads enmity and hatred among them koran says and some of those who say surely we are nasara christians we took their covenant so they have forgotten a part of what they were reminded of so we have stirred up enmity and hatred among them until the resurrection day and allah will inform them of what they were doing see also koran islam a religious terroristic system is an exploitative racist evil corrupt deceitful murderous double crossing contradictory and totalitarian ideology koran says and engage in war with them non muslims until there will not be sedition and the religion will be completely to allah islam is an intolerant and violent ideological system and one cannot reject it without suffering the penalty of death koran in sahih bukhari v b n the prophet says if somebody discards his religion islam k i l l him dying for jihad and paying money for jihad are two requirements for islam s muslims to obtain paradise koran says surely allah has purchased from the believers their souls and their money so that they may have the garden they engage in war for the sake of allah so they k i l l and are k i l led islam should be examined exposed criticized and condemned for its discriminatory and terroristic teachings allah has been at war for years with non muslims because they do not surrender convert to islam see qur an therefore allah uses ji had to terrorize non muslims and to take money from them eg jizya extortion payment to stay alive until they surrender convert to islam or are k i l led koran in sahih muslim b n allah s apostle said i have been commanded to fight against people till they testify to the fact that there is no god but allah and believe in me that i am the messenger and in all that i have brought and when they do it their blood and riches are guaranteed protection islam and its shariah islamic law are a violent supremacist genocidal terroristic religious legalistic social system for example sahih muslim b n says it was narrated by umar b al khattib that he heard the messenger of allah say i will expel the j w s and christians from the arabian peninsula and will not leave any but muslim in sahih bukhari v b n narrated anas bin malik allah s apostle said i have been ordered to fight the people till they say none has the right to be worshipped but allah and if they say so pray like our prayers face our qibla and slaughter as we slaughter then their blood and property will be sacred to us and we will not interfere with them except legally and their reckoning will be with allah thus muslims cannot be friends with anyone who disobeys or disbelieves in islam muhammad and allah koran']"
8,26699,7_god_church_jesus_catholic,"['god', 'church', 'jesus', 'catholic', 'pope', 'christian', 'bible', 'religion', 'christ', 'christians']","[""i corinthians for other foundation no man can lay but that which is laid which is christ jesus now if any man build upon this foundation gold silver precious stones wood hay stubble every man s work shall be manifest for the day of the lord shall declare it because it shall be revealed in fire and the fire shall try every man s work of what sort it is if any man s work abide which he hath built thereupon he shall receive a reward if any man s work burn he shall suffer loss but he himself shall be saved yet so as by fire we all have original sin because of adam and eve that is why we must be baptize and that is why jesus christ our lord and savior descended into hell limbo to free the good people there are multiple levels of hell same as heaven peter 'because christ also died once for our sins the just for the unjust that he might offer us to god being put to death indeed in the flesh but enlivened in the spirit in which also coming he preached to those spirits that were in prison' that is another thing that makes abortion even my evil however i like to think god will show his mercy and all things are possible with god in fact the hoy roman catholic church entrusts all children from the moment of conception who die without baptism to god s mercy in hope of their salvation there is no distinction between children already born and those still in the womb indeed the great mercy of god who desires that all men should be saved and jesus tenderness toward children which caused him to say let the children come to me do not hinder them allow us to hope that there is a way of salvation for children who have died without baptism ccc"", 'weak pope weak church praying for the pope to return to faith in jesus christ alone', ""thinningontop wrote catholicism is a christian apostacy however they are mentioned prophetically by the apostle paul in thes chapt and i tim chapt also by the apostle john in revelation as the whore of babylon they will say that is just your ' interpretation ' and skip away whistling as they go it's one of their favorite 'get out of jail free' cards which some abuse like a rented mule but so far i have not seen any roman catholic argue his way out of the facts presented above or even try really here are a few things on which i hope and expect everyone can agree the lord's church was established in the st century in jerusalem on the day of pentecost as recorded in acts chapter the lord's church was alive and thriving throughout the known world in the st century the entire new testament was completed in the st century these facts are not credibly disputed by anyone and yet we must acknowledge that there is not a single mention of the religion of roman catholicism or the roman catholic church in all of god's word not even once likewise we must acknowledge as a matter of undeniable and verifiable truth that jesus did not teach the religion of roman catholicism and the apostles never practiced roman catholicism because the religion of roman catholicism did not yet exist in the st century ergo clearly and without credible dispute the roman catholic church and the religion of roman catholicism necessarily came about sometime later after christ's church was already established so here is the obvious question that needs to be answered logically rationally how can the roman catholic church possibly be the lord's church if it came after the lord's church teaches a religion christ never taught and is not even called or referred to in the way the lord's church is called in scripture how can it be did they rename the church of jesus christ if so when and by what authority the roman catholic church is very careful about keeping important historic documents and the record of changing how the lord's church is called or referred to always glorifying god the father or christ the son to something that honors and glorifies rome would be a big deal infinitely more important than preserving an original signed copy of the american declaration of independence so if any such transfer of deed or name change occurred surely the rcc has it and can produce it and if they don't or can't then by what logic or reason do they claim to be the lord's church how else could we know we can only compare what the roman catholic church practices and teaches to what god's word actually says and that certainly won't be a case the roman catholic church wants to present so we are left with the question logically rationally how can the roman catholic church possibly be the lord's church""]"
9,25832,8_news_fox_cnn_media,"['news', 'fox', 'cnn', 'media', 'breitbart', 'fake', 'propaganda', 'msnbc', 'press', 'journalism']","['hopefully they are worthy of more credit than fox news since fox news is trying to take down moore and all and murdoch has shown an interest in buying cnn', 'i will never watch fox news again', 'cnn fake news trump']"
