,Topic,Count,Name,Representation,Representative_Docs
0,-1,958245,-1_people_like_just_dont,"['people', 'like', 'just', 'dont', 'think', 'know', 'time', 'im', 'right', 'make']","[""well it's not democrats in fact i don't know where you got that idea conservatives want to model our economy on what worked years ago obviously based on evidence from every st world nation around the globe more socialistic type policies universal healthcare free tuition perhaps universal basic income etc are the best economic policies it only makes sense if our production is up because of automation computers etc but the work required doesn't remain static because a robot can do the same job as bunch of humans then the money that would have gone to people in the form of wages needs to go to people in the form of governmental benefits it's literally the only way society can survive as more and more processes get automated regardless of whatever field you're in one day it may not be tomorrow it may not be years it may not be years but one day your job will be done by a non human count on it at that time you might be begging for a universal basic income"", ""i am not an economist either i wish you had at least tried to answer my question by giving at least what you mean as a layman by good for the economy though attempting some kind of definition so we agree that optimal immigration levels are somewhere between no one since the mayflower and million poor people i think we can narrow it down a bit more the founding fathers did not believe just anyone should come here the very first naturalization acts allowed only white christians of good character the u s responded to massive immigration with attendant terrorism anarchists in the early decades of the th with strict immigration restrictions ending anarchist terrorism 's 's were years of incredible economic development and national unity u s was close to white in when immigration was liberalized now we have companies importing cheap workers on various visa programs while american wages are flat and mass unselective immigration legal and illegal resulting in poor assimilation poor educational and economic achievement by immigrants high welfare use etc yes some do come here to be on the government's back welfare use by somali refugees is like yes we have relatively low population density i like it that way i don't want to see our cities surrounded by favelas shanty towns are immigrants out homesteading empty land in wyoming i don't think so the people who came earlier as you put it built this country its system of laws and government education economy all of it we did not just find it here as you say there is not room for new arrivals to be so successful to me that means we do not need lots of new arrivals we're full let's keep those reserves of resources and land for the future avoid the desertification and deforestation that afflict so much of the world and the reason we don't have the levels of violence and corruption seen in the rest of the world is because we've been a relatively unified high trust society balkanized nations don't do so well tend to fall into corruption and inter group conflict i don't see how unskilled el salvadoran and middle easter refugees are going to pay for themselves let alone be so productive that their surplus will fund social security"", ""i doubt mr obama or any us president for that matter would much want to answer the obvious follow up question for that answer on iran everyone knows you reject refute and condemn ahmadinejad's stated beliefs but does your respect for freedom of speech extend to a pledge to give them no weight in any decision you make to use military force against iran as for whether mr obama would find questions about american policy toward first nations religions and culture personally embarrassing i never claimed he would find them personally uncomfortable i still believe that no serious american presidential candidate would want to discuss the less pleasant parts of american history particularly parts that a great many americans appear to know little about in front of an international audience during a campaign mr goldberg appears to believe that the history of the united states gives an american president the moral authority to stand up and tell an audience of muslims that they should sit still for deliberate insults to their most precious beliefs i believe based on my own study and experience of these matters that the actual history makes this a very unwise assumption particularly for a candidate for high political office""]"
1,0,104104,0_article_read_comment_youre,"['article', 'read', 'comment', 'youre', 'comments', 'im', 'reading', 'thanks', 'just', 'dont']","['you should try reading more and saying less stupid stuff', 'what part made you think of that comment', 'interesting article good read']"
2,1,84248,1_trump_obama_war_president,"['trump', 'obama', 'war', 'president', 'china', 'military', 'isis', 'afghanistan', 'iraq', 'bush']","[""no under trump's"", 'at trump u', 'we did in with president obama']"
3,2,71171,2_women_men_sex_marriage,"['women', 'men', 'sex', 'marriage', 'gender', 'male', 'woman', 'sexual', 'gay', 'rape']","[""i don't know mark i think you'll find most college age men have little desire to get married right away either anyway the difference between now and fifty years ago isn't that women are all spending their twenties chasing pro athletes it's that women can choose to do other things with their lives before settling down to marriage and babies so many of them are choosing to do so you can lament a past golden age where women were not given that choice if you like but unless you propose to return to a social system which forcibly limited women's options in life you are not going to go back to that era of great male advantage i don't disagree that there are some men who have profited hugely from women's lib but if some women are so stupid as to eternally chase after those men and ignore really good men note that these are not i repeat not the same as self styled 'nice guys' then that's their loss just as men who incessantly chase after bimbos and gold diggers are not really deserving of sympathy when they end up either in unhappy marriages or cleaned out in the divorce courts why would you want to marry or procreate with women that stupid anyway honestly try appreciating women for their minds as well as their bodies you might find better quality relationships also less attractive men in their s and s are not owed sex especially not by women who do not find them attractive are you proposing to override women's right to not sleep with or marry someone they do not desire would unattractive women also be thus entitled to a conscripted husband"", 'we need to think about the women why', ""the message hasn't been men don't you dare marry before that message has been delivered to women women responded in part to that and men had to go along for the ride only the players were happy about this most men aren't able to get loads of casual sex and so if they're not in a relationship they're in the sexual desert and to channel gollum that's not very nice is it precious i agree that we need to get the message out more that compromise is required i think men have been getting this message for the last years and men are much more open to women working than ever before both due to the desire or need to have two incomes and the sensitivity messages that they have grown up with i just don't see that many men that are wanting women bare foot uneducated and pregnant some exist but way less than in the past i really believe that most men adapt to what women demand in order to have a woman in their life maybe some players were happy about women putting off marriage but most of the average guys were fine with having to put a ring on it to have sex and a good relationship women were much more the ones to postpone marriage than men were and so if you get women to start looking for relationships again with realistic candidates then i think most of those candidates will be more than happy""]"
4,3,66024,3_students_school_schools_education,"['students', 'school', 'schools', 'education', 'college', 'teachers', 'student', 'kids', 'teacher', 'degree']","[""such that my dad's school pictures as a schoolchild in fresno california at muir elementary school in the s showed a kindergarten class with students and other classes with over i asked my dad how on earth did your teachers maintain order he said well back in those days kids were pretty scared of adults you just didn't question what they told you you just did it plus it was a school where the only diversity was the armenian children who came in speaking armenian following the armenian genocide years prior but no one was desperately poor or traumatized by addiction and neglect at the same rate my students are i teach high school and i used to teach middle school and i think class sizes of are acceptable but the year i had per class was not now we have everyone in class not the uniformity of working class and middle class all white no disabilities all english speaking classrooms that my dad attended children who are not ready for mainstream education need sheltered instruction until they are ready they really should not be in a general ed classroom until they are ready that would require hiring many more teachers to deal with the amount of special needs students and students with behavior problems usually owing to trauma people don't terrorize their kids any more and often they actively turn their children against public schools such that i've had some students one completely sociopathic student are are there to protect their rights rather than learn i don't know why parents bother to send their children to us if they are not going to support us at home no learning will happen that way at all"", ""a very good point but from my vantage point as a former math professor poor high school education is another of the unfortunate outcomes of the free ride that higher ed gets here is the short story universities get grants to produce phd's in areas of national need like math with no real accountability they generate phd's that sometimes have trouble solving harder calculus problems these students get jobs at colleges that produce some of our high school teachers as professors these people are not going to challenge their students its too risky furthermore why try to teach something innately difficult when in this era of student consumerism happy students are what is important to administrators so we get unprepared high school teachers then high school gets dumbed down now you need a college degree to get a high school education and a high school job obviously this isn't true of all high schools or individuals but it is true too often if you want to read more about this go to my blog inside higher ed com go to the category university education dumbs down high school"", ""i am former college professor who has spent almost a lifetime observing how much of higher education is essentially a scam on students and their parents i feel compelled to correct some of this article's statements they can be used by unscrupulous institutions to justify some of their behavior i am sure the statements are not intentional they may only be a reflection of what has been happening as students graduate without a good education but with the belief purposely instilled by their institutons marketing department that they do have a good eduation i hope what i write here will help both readers and the author who overall does a great job of bringing important facts to our attention let's start with the statement in that it is not really true that a college degree is the new high school degree jordan is telling us that it isn't true because it is not yet the norm what i mean when i say a college degree is the new high school degree is that the new college education is equal to the old high school degree if that is not true it is not because things are getting better it's because they are getting worse anyway saying this in the sense of one now needs a college degree is correct only because of the dumbing down of both a high school education and a college education and that adds to the coffers of colleges and finanially encourages them to hope for a poor high school education i have even heard that expressed by professors in jordan says college is hard basing his conclusion on the fact that many don't finish if college is so hard why is it so much less work in academically adrift the authors report that students study about half as much as they did years ago i could go on but i will finish with this plea please don't accept any priesthood at their word and please don't confuse degree with education once the public realizes that college professors and administrators can be just as bad as the rest of us including bankers they will demand more transparency about college claims i am trying to help with posts like this one and with my blog inside higher ed com and jordan please keep the good information flowing thanks""]"
5,4,34096,4_gun_police_guns_cops,"['gun', 'police', 'guns', 'cops', 'crime', 'cop', 'officers', 'officer', 'death', 'shooting']","[""another idiot liberal who thinks people who carry guns and like guns are scared and part of the problem it's really sad people like this exist in the world oh and i especially love the example you gave of your psychotic dad he was a psycho clearly some people are so your argument is we should eliminate guns because some people are psycho again smfh it's so sad such closed minded people exist in this world and if you have a problem with those guns your father passed on to you when he died please mail them to me i'd be glad to take them off your hands if you have a problem with having them in your house have you seen how out of control the police have gotten in this country they are killing innocent people all the time now i carry now to protect myself from the police it's necessary if you remove guns from the hands of the people then only criminals and the police will have them i don't trust the police with guns at all"", ""so in looking at your link there's something i'm noticing they give us a bunch of different numbers first they give us the gun crime rate change from to then they give us the total gun crime rate change from to then they give us the gun sales rate change from to and accordingly from to taking all of that data at face value i e not quibbling with the gun sale estimates assuming every gun bought in virginia stays in virginia and assuming that nothing happened in or to make this an auspicious six year period we can still get some interesting conclusions in let's say that the number of guns crimes committed that's our base value in order to see a drop from the last year we divide by meaning in we saw rounded gun crimes do that again and again and in you'd see a gun crimes again rounded divide by and you know what you get a reduction a little bit lower than what you'd expect from an average year over year which is a roundabout way of saying gun crime in virginia has been falling at a pretty consistent rate though was higher than the average rate would predict now let's consider the second set of numbers if you do the same thing as above letting gun sale and gun sales you get a value of now if you divide by you see that a year over year increase in sales would result in a six year change of well over that which virginia actually saw which means was an extraordinary year for gun sales in virginia again taking all the statistics offered at face value it actually cuts ever so slightly in favor of the claim that fewer guns means a safer virginia and it absolutely demolishes any claim one might make that more guns does the same"", ""no one knew there was no gun that's why you do what the cops ask""]"
6,5,33185,5_god_church_religion_religious,"['god', 'church', 'religion', 'religious', 'jesus', 'christian', 'christians', 'catholic', 'bible', 'faith']","[""all those aspects of religion that you list would not exist or are meaningless without individual religious experience this statement is tautological religion would not exist without religion what is the individual religious experience being a part of some sort of organization is almost always a part of that experience religions are usually collectives you can't be a christian and not be a member of the church for example most religious people don't practice their own personal religion unique only to them you don't seem to have a good grasp on what religion is"", ""christian privileges for holidays holy days many stores take the christian sabbath into account most christians don t have to work on their holiest days christians can assume they will see tv specials and hear music related to their holidays christians can erect christian holiday displays without fearing vandalism christians expect to be greeted with references to their holidays merry christmas christians can ignore and be ignorant of other religions holidays school events will probably address christian holidays christian privileges in american culture when traveling christians can assume they'll find churches of their denomination it s easy for christians to find a religious site to marry christians easily find christian movies radio programs and tv shows when someone talks about or thanks god christians can assume it s their god christians will find bibles in their hotel rooms christians have many christian charities to donate to or get assistance from christians needn t worry about finding foods to meet religious dietary requirements christian privileges against discrimination and bigotry christians can assume that they won t be discriminated against because of their religion christians can assume that their opinion won t be ignored because of their religion christians need not worry about moving to a place where christians aren t welcome christians rarely encounter groups that exclude christians christians don t worry about revealing their religion to parents friends christians can discriminate in ways not otherwise allowed avoid members of other religions christian privileges in schools christian children will see other christians in lessons about history christian children will participate in events relating to christian holy days christian children will find or easily start school clubs dedicated to christianity christian athletes are encouraged by christian coaches christian children might avoid being exposed to foreign religions public school space is often shared with christian churches christians can easily find private schools that cater to their religion christian privilege fear and security christians can wear christian clothing or jewelry without fear christians can promote their religion on cars or houses without fear of vandalism christians don t have to educate their kids about persecution for their own protection christians can ignore the language and customs of other religions without censure christians need not worry if their religion will hinder their professional ambitions christians don t have to worry about hate groups dedicated to wiping out christianity christian privileges in the community many communities have names with christian origins christians can assume that most neighbors coworkers are christian christians have directories of christian owned businesses christian businesses can hire all christians without trying christians can criticize christianity christian privilege with more authority than non christians and without their motives being questioned christians can assume that almost anywhere they go and anything they do they ll feel normal christian privileges with christianity christians aren t expected to speak for all christians or everyone in a denomination whatever christians do they need not worry that it will reflect poorly on christianity christians easily shop for items related to christianity even in specialty christian stores successful christians aren t told that they are greedy because of their religion the word christian is treated as a label representing the best human attributes christian privileges in the law where relevant laws take the christian sabbath sunday into account laws regulations come with built in exemptions for christians christian beliefs christians can assume that most politicians are christians who represent christian interests christians can criticize the government or society without being labeled cultural outsiders christians can assume that politicians won t attack their religion christians assume that government prayers will be christian in nature they usually are"", 'thank god we have religion']"
7,6,31344,6_insurance_health_healthcare_care,"['insurance', 'health', 'healthcare', 'care', 'obamacare', 'aca', 'medicare', 'medical', 'medicaid', 'doctors']","[""and if you can't buy insurance because of pre existing conditions remember that aca is not just the insurance exchanges but is also the new rules related to requiring insurers to actually insure people and not have unreasonable caps on your payments if you are someone with an ongoing health problem it was hard to get insurance at all and if you could the cost could be as much as a month with a deductible and the insured paid of the costs if you've got an ongoing health problem you could be spending in premiums and another in out of pocket"", 'because health care is not a consumer market it s most dependable customers those who need and use the services the system provides the most are aged and ill and often dying conditions which interfere with their ability to earn and pay for the services they need that means in order to survive providers need some system that insures payment from the healthy and employed it means as much as americans hate to admit this some way to socialize the maintenance of the very costly research technology facilities and educated work force required to provide modern effective care health insurance wasn t developed by the insurance industry it was developed by hospitals to guaranteed payment and a flow of income that maintained their services it is not risk insurance with risk insurance like car insurance flood and fire insurance etc insurers can calculate the probability of its actual use the likely number of people who will actually make claims and profit from all the many more people who will pay premiums without ever needing to collect everybody needs health care throughout their lives people collect and collect and collect for that reason before the late s and s when bi partisan congressional reforms created hmos and other forms of managed care that took care decisions out of the hands of doctors and put them into the hands of insurers providing them the ability to limit what was covered and who was covered for profit insurers avoided the market those reforms called managed care created opportunities for for profit insurers to make money by managing who got what care and by the end of the century all health insurance was for profit but that ended up making insurance more expensive while providing more limited coverage and coverage became less and less available especially for people who most needed the care the whole system was becoming increasingly untenable and more and more people were being locked out of the insurance market premium cost in the decade before the aca was passed was averaging increases of a year in the individual market our system was in crisis and it still is and it will continue to be as long as we keep pretending health care is a consumer market just like any other', ""well actually i am paying out of pocket for routine care even though i have insurance through my employer between what my employer and i contribute on a monthly basis we're spending a year just in insurance premiums whether or not i use it my family does not use anywhere near that amount in medical services and when we do we have to pay more out of pocket because there's a deductible and only a percentage is covered so add that to that figure above it would be cheaper to not have insurance at this point but the system is dependent on families like mine to pay for insurance and not use it so that they can use that money to pay for others who belong to the same insurance i do so it's not just my tax dollars being used to pay for those without insurance but additional money from my paycheck to pay for those with insurance when you think about that it seems we actually have a socialist system already it's just in disguise""]"
8,7,27243,7_tax_taxes_income_wealth,"['tax', 'taxes', 'income', 'wealth', 'money', 'pay', 'rich', 'market', 'economy', 'jobs']","[""shouldn't there be an opposing opinion to this article about the many people who have to pay the tax to make up the tax credit just saying i agree more should be done about the income inequality in this country you see when someone gets a tax credit someone else will have to pay a tax debt to cover it i also know there will be someone out there who will say that higher wage earners could donate money to a charity and take a tax break however the tax benefit of donations is drastically disproportional to the tax debt let me explain if someone in a family of making annually and donates to say the starving starbucks barista society they can take a tax deduction this deduction does not come directly out of the taxes owed the donation goes to calculation of the taxpayers bracket thus that will only save the taxpayer on order of the article talks about a family of can receive a tax credit of this must be including the child tax credit see page of irs pub instructions eligible child if you look at the eitc table in the instructions the highest earned income credit amount is for a married couple with children with a taxable income range from to a similar family of making a combined income of like above before standard deductions would have a tax debt of minus the child tax credit for both families child tax credit is paid by people without children disproportionally as well that is also another story so affectively you take the from say duel income teachers without children average teacher salary is and give it to a couple whose only earnings come from a starbucks barista average national income is why just because they made more money you see the government is not proportionally taking this money from the ultra rich this is not a robin hood tax steal from the rich give to the poor this is a robing the hood tax take from the not really rich so they will never be rich to give to the poor where no one really gets out of the hood until your making like k a year the ultra rich have many many tax shelters the couple of teacher may be able to only shelter a bit of their income through k ira etc the people who disproportionally pay these taxes that go to the eic are the middle to upper middle class from k to k for individual income and k to k for duel income while the top pays a lot of tax the rate is not proportional to the middle because the middle does not have the type of shelters that ultra rich have corporate welfare once the income is sheltered it is not tracked the same as standard income off shore accounts the ultra ultra rich's tax shelters skew the numbers even more the current eic system is a much greater burden on the middle class not the to while the above article does show how the eic is benefiting our lower income families it doesn t tell the whole story i agree with the eic program but it needs to be overhauled to reduce fraud change the beneficiaries to not just people with children by the way look at how that if you get eic you can also get child tax credit we need to drastically change the tax codes in this country so people like the kardashians can do absolutely nothing and make a crap ton of money and still not pay a greater sum proportionally our military teachers police officers firemen etc of this country deserve better do the math people please"", ""then by your logic the government should just set the tax rates at right and that clearly does not work either so there is an optimal set of tax rates and this optimal set of rates has nothing to do with fairness it has to do with what set of rates generate the money that the government needs at the least cost in growth to the economy because all taxes cost the economy growth for the simple reason that taxing involves taking money from productive people who earned it and spending it or investing it less productively than they would have themselves we are clearly at a point with the corporate tax rate where our rate is not competitive with rate paid by corporations in other countries causing our corporations to invest in jobs in those countries and not here so cutting the corporate tax rate to will cause more investment to occur here in the usa cutting the top income tax rate will put more money in the hands of people who make a lot of money which will allow them to invest in the new opportunities created by trump's business tax cuts together the two are the best possible recipe for growth in the economy growth in jobs and growth in incomes"", ""the high income people already pay higher taxes and we don't tax wealth save for property tax also the middle and poor class do have money to spend their standard of living has never been higher""]"
9,8,25261,8_party_gop_republicans_vote,"['party', 'gop', 'republicans', 'vote', 'democrats', 'republican', 'senate', 'election', 'voters', 'dems']","['i think the trend line is very clear young voters vote democratic in large numbers as do all minorities all of these segments are growing in proportion to voters as a whole so at each election cycle as long as they turn out in respectable numbers and continue to vote democratic republicans and conservatives are on the losing end republicans can continue to win non presidential year elections for a while but they are winning a few battles at the expense of the war they need to reconcile themselves to a future in which they are the minority i think hillary or any mainstream democrat will get the same voters plus that obama got she is quite popular with her party', 'you can vote for the candidate rather than the party', 'the republican party']"
