,Topic,Count,Name,Representation,Representative_Docs
0,-1,724130,-1_like_just_trump_people,"['like', 'just', 'trump', 'people', 'dont', 'know', 'muslims', 'time', 'good', 'right']","['the primary purpose of the second amendment was to affirm not grant an inalienable right to keep and bear arms to fight against tyranny to defend and secure the home and nation as well as to put food on the table or any other purpose the militia of the people was intended to have arms equivalent or superior to those possessed by any and all enemies to be encountered foreign or domestic the militia both regulated and unregulated must be prepared and capable of responding to active enemies or threats to the security of the home community state or nation today tyrants are restricting that right to fighting back with an unloaded firearm that is required to be kept locked in a safe in your home with no ammunition kept in the same area ever since the s the government has largely taken away from citizens the right and ability to defend their country and assure their own freedom which was the core purpose of the nd amendment the mood and intent of the drafters of our constitution is clearly demonstrated by the following when in the course of human events it becomes necessary for one people to dissolve the political bands which have connected them with another and to assume among the powers of the earth the separate and equal station to which the laws of nature and of nature s god entitle them a decent respect to the opinions of mankind requires that they should declare the causes which impel them to the separation we hold these truths to be self evident that all men are created equal that they are endowed by their creator with certain unalienable rights that among these are life liberty and the pursuit of happiness that to secure these rights governments are instituted among men deriving their just powers from the consent of the governed that whenever any form of government becomes destructive of these ends it is the right of the people to alter or to abolish it and to institute new government laying its foundation on such principles and organizing its powers in such form as to them shall seem most likely to effect their safety and happiness the declaration of independence july', 'you want to be president after trump s cave whoever steps up and writes a contract with america newt style will win the republican nomination and be our next president it could be just about anybody it could be one of the freedom caucus guys or one of the new stars coming in kramer braun blackburn hawley scott or maybe cruz or even newt himself all he or she has to do is stand up and say i promise to get you a billion dollar foot high mile long wall built within my first year upon taking office without dealing with congress i promise to have hillary and all of the dirty behind prison bars based on already existing evidence no more investigations i will shut down the mainstream media based on the harvard study very easily done since the media is detested by almost everyone i will evoke emergency powers since i will have to from time to time remove and deport progressive judges who legislate from the bench despite constant media trashing americans now want a strong putin type president trump s problem is that he turned into a jelly right before our eyes although hard to believe congress is now actually detested more than the media i will deport all million illegal aliens within my first term in office and bust up every sanctuary city and deport all those involved in any way that person with that contract is the next president trump has already forfeited any right to run just based on the fact that rosenstein instead of being behind prison bars is actually the sitting asst ag which is disgraceful plus not only is the mile wall not done it has hardly been started', ""sample headlines if hillary elected january president clinton demands repeal of second amendment rights conservatives scoff ryan silent psychology today fully endorses cites cigarette smoke example january president clinton suggests her proposed tax increases stand chance of passing if moderate republicans embrace her spirit of bi partisan leadership paul ryan says will enhance nations' infrastructure creating high paying jobs february fears mount as president clinton hardens her stance on open borders saying rumored isis legion growing throughout south america and mexico merely fear mongering from last ditch effort by few remaining diehard conservatives march president clinton announces her choice to replace the late antonin scalia mcconnell predicts narrow confirmation vote june active shooters reported in cleveland area mall at least confirmed dead outside mall including children many gunshots heard inside including explosions police have cordoned off the area president clinton has been informed and asks nation to be calm june president clinton will attend mass funeral service for the victims killed in the first terrorist attack of her presidency vows to tighten homeland security monitoring of refugees she is allowing in she will visit several area children's wards to console some of the many young victims and families july as the nation prepares for annual th of july celebrations congress confirms president clinton's supreme court nominee and declares progress being made in the senate after the house approves a ryan backed plan to provide much needed funding to insure the continuing success of the affordable care act which some remaining but dwindling at least publicly conservatives call obam's folly september president clinton joins nation in grieving sudden death of supreme court justice vera fied will announce her choice to fill the vacancy from her recent short list after filling scalia's replacement december gunman enters christmas eve church service and opens fire on worshippers wounding two before being shot and killed by a conceal carry permit holder ironically this attack falls on the very day president clinton buoyed by her recent supreme court confirmation announces measures to confiscate assault rifles she claims will help end gun violence across america""]"
1,0,74521,0_obama_democrats_trump_president,"['obama', 'democrats', 'trump', 'president', 'vote', 'democrat', 'dems', 'election', 'republicans', 'fraud']","['like these democrats', 'how could any american vote democrat they are a do nothing party', ""impeachment is the accusation part performed by the house of representatives there are enough votes to do that the trial is performed by the senate there are not enough votes to convict impeachment would be a waste of time and money while potentially guaranteeing obama's re election with sympathy votes the house is doing the right thing million eligible voters abdicated their responsibility in and did not vote many people voted for third party candidates that had no hope of winning many were suckered into voting for the first white arab kenyan the electoral college determines who becomes president based on the popular vote in each state every patriot needs to vote in november for obama's opponent whether you vote for romney because you like him or hold your nose and vote for romney the result is the same nobama in november our choice is capitalism with freedom or socialism with slavery only traitors to the usa and her constitution will vote for obama""]"
2,1,51276,1_stupid_youre_brain_hes,"['stupid', 'youre', 'brain', 'hes', 'idiot', 'word', 'head', 'dumb', 'lol', 'english']","['he is so stupid', 'are you stupid or just dumb', 'and how stupid people are']"
3,2,44113,2_shes_hillary_pelosi_woman,"['shes', 'hillary', 'pelosi', 'woman', 'nancy', 'clinton', 'shell', 'lady', 'like', 'looks']","['hillary was going to win remember never give up', ""i'm for a dead hillary too"", 'pelosi is already on it its what they want']"
4,3,40382,3_tax_taxes_money_economy,"['tax', 'taxes', 'money', 'economy', 'debt', 'pay', 'government', 'inflation', 'jobs', 'trillion']","[""i also believe in a progressive based tax system while you probably like the idea of a flat tax so where will you cut to pay for the windfall on the top less than of the country's wealth remember the top rate was once and the rich kept working the country didn't collapse we didn't have the debt we have now make the tax plan pay for itself without resorting to voodoo economic theories that haven't worked in the past and i'll support it by the way trump originally campaigned that the plan would raise taxes on the wealthy bannon also supported a higher tax on the wealthy trump's gope are pushing this plan but it won't get past the senate without major adjustments maybe we will get a middle class tax cut in spite of the gope's efforts"", 'at least we get to tax them', 'damn right there is not one reason to raise taxes on any american we are being taxed right out of business income tax state income tax property tax sales tax a myriad of license taxes everything is taxed until our disposable income so low it will show up in and you will not like the result easy fix cut all taxes in half and cut all government spending except the military percent for four years freeze military spending at current levels for four years we will need this every person who gets a government check for will get a check for this will put us in a perfect position to turn the economy around and the current deficit will be gon in years and we could reduce the national debt by in ten years detroit will not be able to produce enough pick ups or cars and america will be a much better place']"
5,4,36578,4_church_god_pope_jesus,"['church', 'god', 'pope', 'jesus', 'catholic', 'bible', 'christ', 'christian', 'religion', 'christians']","[""what the pope says is often not in scripture yes jesus commanded us to love and pray even for our enemies but no where does the bible say roll over and accept an anti christ invasion of the deceived no no no the catholic church which i feel is highly deceived itself is becoming an ever more important part in the end of days that church seems to want to do whatever is necessary not to offend with the word of god the word of god is supposed to be offensive to a fallen sin filled world muslims are a deceived cult of hate pray for them yes but don't allow them to invade and conquer christianity is a religion of peace not stupidity"", ""as a traditional catholic are you defending the church or anti pope globalist francis the church i'll defend but this pope is a servant of satan"", ""did jesus say 'you don't need a church'""]"
6,5,31148,5_border_mexico_illegal_illegals,"['border', 'mexico', 'illegal', 'illegals', 'immigration', 'mexican', 'aliens', 'immigrants', 'cartels', 'borders']","['of course yes been said before to secure the border first and deport all illegals', 'deport all illegal aliens secure the border and fine anyone who hires an illegal alien', 'no border no country']"
7,6,28518,6_muslim_islam_muslims_isis,"['muslim', 'islam', 'muslims', 'isis', 'islamic', 'saudi', 'syria', 'taliban', 'afghanistan', 'religion']","['not just muslims the muslim brotherhood and sharia law', 'this is islam', 'warning time is running out indoctrination there is nothing in this country the government will not sell or give away the main point is this our president is a socialist muslim with a un socialistic now agenda and a good part of our government are muslims with the same agenda their intent is to bring the usa down dividing the country along racial lines and destroying the economy all that is required is enough strife and lawlessness in the country and there will be excuse to declare marshal law notice to all countries we have been infiltrated and the takeover in our country is imminent no visas for christian immigrants in muslim countries because they are christians muslim immigrants accepted mass migration the destruction of israel as a nation making it totally muslim the destruction of the constitution and american might and trustworthiness among the nations there is a rfid chip in your future so government can track and control you a cashless society persecution of christians and the christian military personal that exhibit and practice their faith and a one world church perversion is readily acceptable and practiced while being forced into the military by government division of the country along racial lines divided and conquer open borders total disarmament of the people is being pushed politically from the president s office down the complete implementation of eu un agenda sustainable living a dictatorial government to regulate and control your life wake up americans and christians you are next victim of an islam government and the socialistic un and nwo war and the failure of our economy guarantees everyone will be affected no escape and nowhere to run a radical socialistic un and a bought and paid for republican and democratic government rep and dems want to import muslim people from syria and other failed muslim countries to the usa by the hundreds of thousands open borders divide the country racially they will slander anyone who disagrees with their agenda and i disagree furthermore i am saying enough is enough it is past time to stand up as an americans united and organized and put government in its proper constitutional rightful place no more law lessness freedom is not free and if the people fail to protect their god given rights they will have no more rights if i had my way i would tell the un to go to hell it is the un forcing these immigration issues in america through our treasonous government who are your representatives working for you or the un then i would round up every one of these dems who are forcing this invasion on the american people and demand they are tried for treason those who were not convicted i would send to syria or some other failed muslim hole let us see how long before the muslims remove their heads enough of this i do not promote islam in any country and for sure not in my own country where islams only concern has been to corrupt the system with more terror like sharia law and their barbaric religion and political principles you better wake up people this is nothing less than an invasion with the intent of destroying the country usa the christians jews and your way of life while promoting the socialistic nwo using islam in the process of producing a world socialistic caliphate you want to face a knife at your throat or watch them rape your wife or daughter just ignore these warnings and do nothing keep your guns stock up on ammo and pray while growing in faith if you do not have guns then buy one and get plenty of ammo with it the first step to bringing down a country is to disarm as many of its people as possible unarmed people are helpless to stand against tyranny every country these people have come into our country and other countries are now being forced to accept duel government with islam and sharia law dividing the countries they immigrate into their intent to the host country is for the host country to support them they do not assimilate into the countries they migrate into but settle separately often taking up to four wives they procreate like rabbits letting the welfare systems take care of them when they become strong enough demographically they infiltrate the political system and demand the countries adopt their life style and laws always the intent has been to divide and conquer this stinks to hi heaven and i say enough past time to clean house and we need to start with the white house and work down a muslim president and government are not acceptable or compatible in a constitutional republic or democratic society muslim will not accept constitutional law as muslims they considering themselves to be above it your law and you yourselves are considered inferior and therefore you are to be subjugated as a slave or killed you have no rights unless you convert to islam i am a christian and if this government thinks i will set quietly by and let them destroy my country and eventually destroy my family and myself i say no enough i am going to say lock and load america i am not an animal and i am not going to be slaughtered like and animal or forced to accept islam or pay as a slave to live in my country nor am i going to set idly and do nothing while my family is set up for this satanic system americans for americans jesus christ is lord']"
8,7,27302,7_eu_ukip_uk_brexit,"['eu', 'ukip', 'uk', 'brexit', 'british', 'britain', 'labour', 'bbc', 'europe', 'cameron']","[""may has just received her just reward from her eu friends in brussels now that the negotiations are limited to an extension of days the eu is betting that the brit's fold and become subservient to the overlords of the eu just leave they have shown every british citizen that they cannot negotiate in good faith and would do anything to hurt the brexit from becoming a reality just leave and tell the overlords of brussels britain will work against the interests of the eu wherever and whenever we can oh britain is the nd largest economy in the eu to date if she leaves the eu will sink to the depths of despair hopefully ending the globalist experiment called the eu"", 'thats the eu for you pay in more than you will ever get back', 'the eu most go europe was better off without it']"
9,8,26618,8_black_white_racist_blacks,"['black', 'white', 'racist', 'blacks', 'racism', 'race', 'whites', 'blm', 'color', 'racists']","['problem is black on white vs white on black crime statistic whites are times more likely to get killed by black man between years of age than the other way around sadly', 'black lives matter we hate white people', 'that just could not a been a black']"
