,Topic,Count,Name,Representation,Representative_Docsabortion
0,-1,857926,-1_trump_like_just_people,"['trump', 'like', 'just', 'people', 'dont', 'think', 'right', 'know', 'time', 'did']","[""in the scenario that you dismissed the fraudster is unlikely to get caught but has no way of knowing whether there might be a cop there either in an official or unofficial capacity after all this is the kind of voter fraud that conservatives are insisting is rampant if you believe that put a cop there preferably in plain clothes except they don't believe it the object is to prevent some year old black woman who was born at home and never had a birth certificate and never learned to drive from voting but back to the fraudster what kind of incentive would you have to provide someone to take that risk no matter how small i think it would be easier and safer to scan the obituaries for a month prior to an election than it would be to go through the phone book and hope for the best personally i also strongly believe that it is better to simply accept a small amount of fraud rather than to potentially disenfranchise the same amount of voters in the name of preventing fraud i think you'd probably disenfranchise hundreds or thousands of voters for every potential fraudster but i'm glad to see you've changed your mind what changed it in the run up to you were supportive of voter ids if i recall in fact i think that's how we met rand paul has 'evolved' a bit on this issue too i'll bet you dollars to donuts that voter registration cards being sent to the concrete plant is the result of some minimum wage worker trying to fill their quota for voter registration remember acorn wasn't engaged in voter or election fraud despite the charges people were registering mickey mouse to earn a paycheck but mickey never showed up to vote acorn was destroyed but no criminal charges were ever brought because no crimes were committed though james o'keefe did lose a civil suit that cost him k and still lives in his mommy's basement in contrast that guy in fla hired by the state republican party who was throwing out democratic registrations will be going to jail eventually for election fraud did you see the tape of the guy asking people to mark 'republican' on their registration forms because those are the only ones i get paid for that was floating around here last week we do have a fraud problem but it's not individuals showing up to vote"", ""dead in the water republicans are also pretending that a minority of voters gave them some kind of mandate instead of viewing their surprising thanks russia wins as a yellow light to proceed with caution but i'm growing enormously sick of the pity party for the special snowflakes who voted for trump the constant refrain of 'we don't understand them ' yes a lot of liberals are over educated jackasses who look down on their noses at plumbers and auto mechanics until they find themselves in need of one a lot of folk look down on modern medicine until they need a doctor too both liberal and conservative i suspect a lot of atheists also cry out to god in moments of desperation i know i do and a lot of trump voters will be enormously harmed by anything republicans will be able to agree on they need a bi partisan bill to repair obamacare failure to understand what you need or might need is part of the human condition and looking down our noses is one of the failures man kind get over it trump voters are not special mis understood and prosecuted snowflakes they're humans who voted against their self interest because they were unaware of how it would hurt them i'd say the real republican failure is one of marketing they just need a new slogan time 'repair and restrain ' going to the center with a bi partisan bill and call it a victory trump made a deal with the dems and he got a great deal but republicans don't listen to me they're still doing the opposite just to to peeve me so far as i can tell"", ""why didn't bernie run things are much much worse than stated here on january obama will hand off to donald trump a dramatically enhanced executive branch this includes picking and choosing which congressional enactments to enforce enhanced interpretations of executive orders thereby providing for rule by decree law making in administrative agencies whose leadership trump will now get to pick and much much more you saw the irs go after tea party groups right what happens when the irs goes after progressive groups with a vengeance under trump's leadership or when the epa simply stops regulating the coal industry face it the imperial presidency of obama will be transferred and will become the ultra imperial presidency of donald trump and trump will have both houses of congress and will be appointing an eighth of the federal judiciary because the gop senate has only acted on eight judges for obama since taking power what can the democrats possibly do the gop senate has already threatened to ditch the requirement that anything pass by votes so trump will get to pick up to four supreme court judge more if thomas resigns as he has said he would if the gop takes the presidency as it has media pressure for the right at least much of the media has had its credibility blown by the wikkileaks revelations media is now divided between gop and democrats and no one on the right almost half the country will paying any attention to democratic media face it the democrats have screwed up and screwed up royally bernie would have made a much better case for the presidency and would have had a much better shot than hilary so warren can make all the noise she wants it will make not one bit of difference a piece of advice have your passports ready""]"
1,0,254332,0_tax_money_taxes_pay,"['tax', 'money', 'taxes', 'pay', 'income', 'jobs', 'economy', 'people', 'government', 'debt']","['what are you talking about what new programs would be needed why would we need to borrow money from china to increase the minimum wage as a matter of fact with an increase in the amount that people are paid income tax collections would increase and or fewer people would require government services to supplement their meager wages that would help to pay off that national debt', ""i would be interested in knowing how many of the retirees have a part time job that helps make their pensions social security savings go further that seems to be the reality where i live yes people have retired from their full time job but they work part time to make ends meet or to be able to afford a few extras or pay their medical bills re future benefits available through social security etc i think it's going to be a real shock that probably won't start making its effects felt until a few years from now how much money was being contributed by undocumented immigrants into the social welfare systems the businesses in our area that hire workers with suspect documentation they're illegal are scrupulous about making sure that the workers pay taxes etc the working people that are being deported and those that aren't coming in any longer because of the new climate are no longer paying in none of these people were ever able to benefit from the money they were paying in in terms of social security etc so that was extra unearmarked funding that is now being impacted"", ""i haven't forgotten about them at all in fact it would appear to be you who has no understanding of how the tax system works those who pay no federal income tax are not somehow gaming the system they are in fact participating in the same system that allows those who make exponentially more money than they do pay minuscule tax percentages on their wealth a person who makes a year may end up owing no federal taxes but that's no different than the person who makes million a year but enjoys millions of dollars in tax deductions through laws and loopholes lobbied for by the very profits he enjoys and when one accounts for the state and local taxes that every american pays whether they be gas taxes or sin taxes or property taxes or any number of local taxes the poor pay a far higher percentage of their income toward taxes than the wealthy do this is why deceptive fuckheads like you attempt to focus the argument on federal income taxes rather than the overall tax burden because once you start accounting for all the taxes americans pay and its percentage of overall income the poor pay a substantially higher rate than the wealthy you deceptive piece of shit""]"
2,1,186948,1_trump_party_republicans_gop,"['trump', 'party', 'republicans', 'gop', 'republican', 'like', 'people', 'vote', 'right', 'white']","[""it didn't take any courage at all for bernie to reject the experts and vote against it because he knew at that time that it wouldn't change anything so there were no real consequences attached if it turned out to be the wrong vote he took the easy way out a vote on the other hand for going to war took courage because it attached real consequences in real terms that were well understood by all that voted for authorization and predictably and as you example would treat hindsight as foresight and run about calling those that followed the evidence and made the hard vote abject cowards for not taking the easy way out like bernie did of course had all the democrats taken the easy way out and bush and company found any weapons of mass destruction the people wouldn't trust a liberal leaning democrat or bernie like character with the white house for at least the next years ergo we wouldn't be here today reading your angry dribble because your messiah bernie was rejected and no bernie had no information in foresight that countered what our experts were telling him about iraqi weapons programs and you guys have your heads buried so far up his a that none of you have ever thought to even ask him to put it up what vetted facts or information he possessed at that time that justified his vote"", ""i don't hate trump i want him to win the nomination trump trump trump trump trump trump"", ""i've had pretty good successes with changing a few hearts and minds with that yes i'm sure you have but white racists will believe anything just look at their devotion to fox news it's funny that you want to claim the republicans of today are the same as the republicans who voted to free the slaves and to end jim crow i mean if today's republican party is the exact same party as the party of lincoln and the party of the civil rights act as racists like to keep telling themselves please explain why today's republican party cannot convince either black americans or pretty much any minorities for that matter to vote for today's republican party are you going to claim that only white racists know the real deal and all those minorities are just too stupid to have ever attended an american history class like you obviously never did""]"
3,2,183395,2_youre_just_im_dont,"['youre', 'just', 'im', 'dont', 'like', 'know', 'read', 'think', 'stupid', 'movie']","[""oh really are you sure you're commenting on the right post or perhaps you have a reading comprehension problem"", 'yes you really are stupid', ""now that is remarkably stupid to say considering the vast difference in the concept between the concept 'i' that is the person typing the comment just in case you are unfamiliar with the term and 'you' the person being replied to again just in case you are unfamiliar with the term as well childish comments that ignore basic grammar and english only make you look childish and ignorant i was not the one projecting rage and hatred that was solely coming from the poster claiming such that would be you vegangel if you have no intelligent way to defend your theses in a debate either concede graciously or go away stupid stunts like you pulled specifically i'm glad you admit it now maybe you can get some help dont help you look intelligent or defend your theses and for your information when i get pissed off at stupid posters i dont post back until i have calmed down and can think rationally and intelligently im doing this for the amusement of engaging foolish people like you after all and getting angry is not amusing or entertaining to me""]"
4,3,47734,3_climate_warming_water_energy,"['climate', 'warming', 'water', 'energy', 'global', 'change', 'coal', 'solar', 'oil', 'carbon']","['those who preach from th altar of man made global warming like al gore work to confuse natural climate change with man made global warming', ""most of the world's governments are taking the threat seriously too bad ours isn't one of them rick perry it's a graveyard for jobs at the epa ted cruz said facts don t support climate change in a speech that described the notion as a front for power hungry politicians who want to control americans lives ben carson climate change is what happens when any time temperatures fluctuate rick santorum i for one never bought the hoax to suggest that one minor factor of which man s contribution is a minor factor in the minor factor is the determining ingredient in the sauce that affects the entire global warming and cooling is just absurd on its face marco rubio i do not believe that human activity is causing these dramatic changes to our climate the way these scientists are portraying it scott walker he signed a no climate tax pledge promising not to support any legislation that would raise taxes to combat climate change bush tres i m a skeptic i m not a scientist i think the science has been politicized mike huckabee one thing that all of us have a responsibility to do is recognize that climate change is here it's real we have to do is quit pointing fingers as to who's at fault and recognize that it's all our fault and it's all our responsibility to fix it howlin' mike in then science is not as settled on that as it is on some things same guy this year bobby jindal signed into law the louisiana science education act which allows supplemental textbooks and other instructional materials to be brought into classrooms to support the open and objective discussion of certain scientific theories ' such as evolution and climate change in other words he s promoting creationism and climate change denialism in public schools rand paul if you listen to the hysterics you would think that the statue of liberty will shortly be under water and the polar bears are all drowning and that we re dying from pollution lindsey graham i think there will be a political problem for the republican party going into if we don t define what we are for on the environment i don t know what the environmental policy of the republican party is but he knows enough to have called climate science over hyped and over blown carly fiorina we re disabling our own economy and not having any impact at all on climate change chris christie i don't see any evidence that it's a crisis i didn't say i was relying on any scientist willard mitt romney i think the epa has gotten out of control for a very simple reason it is a tool in the hands of the president to crush the private enterprise system glenn beck al gore's not going to be rounding up jews and exterminating them it is the same tactic however the goal is different the goal is globalization and you must silence all dissenting voices that's what hitler did that's what al gore the u n and everybody on the global warming bandwagon are doing"", ""i think kevin has touched on the real political issue of climate change but i don't think he's gone far enough there are really at least separate climate change questions is the climate changing how has it changed over the last or or years what are the causes of this change specifically how much of it is likely due to human activity and to what extent is it outside the normal range of climate variability in what ways and to what extent have these changes been good or bad for humans and the natural environment assuming that climate change is happening and that it is subject to human influences and that the changes are undesirable what is the cost and effectiveness of taking action to reduce or reverse change it seems to me that the answer to should be easy to demonstrate there's pretty good and consistent evidence that the climate has warmed at least in northern temperate zones for at least the last years and get more problematic although i expect that in a vacuum most people would vote for no change over change but i think the key point given the current state of the environment economy and technology is that the projected costs to appreciably reduce human impact on climate are prohibitive if the climate modelers are correct and we'll have to reduce worldwide fossil fuel use by or keep use constant while capturing and sequestering of emissions just to stabilize climate at c higher than the baseline wherever that baseline is then the world will vote to keep climate changing i don't think that americans and europeans would agree to reducing their energy usage by this amount and i certainly don't think the poor and growing populations of asia latin america and africa would agree to decrease their already low fossil fuel use their intent is to dramatically increase their fossil fuel use if you believe that climate change is both bad and human caused or at least human influenced it seems to me the only rational strategy is to seek research to develop practical non carbon energy sources or effective ways to remove greenhouse gases from the atmosphere while preparing to deal with whatever effects come from climate change""]"
5,4,45386,4_women_religion_god_christian,"['women', 'religion', 'god', 'christian', 'jesus', 'rape', 'church', 'religious', 'men', 'christians']","[""i find it equally odd that you claim a group that's one of the most socioeconomically successful populations in the county having unfettered access to employment education housing and everything this country has to offer is victimized by horrible discrimination while black churches are burning and black people are being murdered by police racists and whoever else if this is about marriage licenses then they should be abolished altogether i actually support civil contracts for gays calling it marriage violates my first amendment right to freely express and exercise my faith saying i can't abstain from any involvement with gay ceremonies in my public or work life violates my first amendment right it's the first one for a reason the original concept of the separation of church and state was to protect the church from government interference like this by the way christians aren't against gay marriage it doesn't exist in christianity there are christians facing lawsuits and prison all over the world for adhering to their doctrine by not yielding to the government's position instead of their faith's that's called persecution"", ""crystal clear what you are saying please let me know what you think about the statements the pope has made about gay marriage those are both his feelings i didn't know we talked about popes' feelings and teaching of the church his feelings have never wavered from traditional catholic catechism clearly yes if those people seek god and have good will who is he to judge even the catechism is forgiving of such people i do not seek god but i happen to be gay and happen to have good will but i am not included in that quote i would argue that i have been on the receiving end of church hostility for being gay for sure but i have thick skin so gave back as good as i got but yes more in general the church is hostile towards and seeks to interfere in the lives of regular good living gay people many of whom are not even catholic to boot talk about audacity do what you want in your own church but to interfere in the civil rights of others takes a lot of balls"", ""and you aren't a bigot you denounce people who seek to live a life of morality and faith according to their beliefs in god because they believe and live differently than you but since you and other gay activists can't force them to accept and condone a lifestyle they consider sinful they are the bigots you apparently don't happen believe in god if you did and were even the least familiar with the bible maybe you would understand that god does not accept sin and he has declared homosexual behavior to be a sin from the very beginning god defined marriage as only between a man and a woman that will never change as it is the basis for god's purpose man cannot change the laws of god nor will these laws be changed based on public opinion like some kind of social club the church is based on and governed by the laws and will of god""]"
6,5,37215,5_insurance_health_obamacare_aca,"['insurance', 'health', 'obamacare', 'aca', 'care', 'healthcare', 'medicare', 'medicaid', 'coverage', 'payer']","[""happily the republicans and trump are idiots who don't understand how insurance works by eliminating the cost sharing reduction csr subsidies which mitigated the risk to insurers of providing health insurance without the ability to avoid pre existing conditions they forced insurers to raise premiums but the subsidies to individuals are based on premiums so the gummint is going to be on the hook anyway for most of the cost savings from eliminating the csrs what we are likely to end up with is medicaid for the very poor very high premium healthcare exchange plans for people who get a lot of individual subsidy although most of the premiums will be offset by the individual subsidies off exchange plans that meet the criteria for having insurance but that are not subject to the requirement that pre existing conditions be covered at no extra cost the losers will be fairly well to do people who are not eligible for individual subsidies and who have expensive pre existing conditions they unfortunately will be in the same boat as before obamacare forced either to accept very high medical and insurance costs or to stick with jobs that provide them with good health coverage or to impoverish themselves in order to qualify for subsidies or medicaid one thing that real conservatives should have liked about obamacare was that it freed up people who wanted to start their own businesses but who had to stick with jobs that provided them with health insurance now that is going away"", ""again some young invincibles would prefer not to buy insurance polls indicate that most people would prefer not to have a mandate so those who choose not to buy insurance would save at least the penalty money of course once they do get very sick they would pay a lot more but again this applies to a minority of people most health care expense is for a minority if you never have major illness you don't need insurance that is actual insurance as provided by for profit companies not socialized health care but obviously fewer people buying insurance is a reduction in overall coverage many people who say they don't want a mandate may be assuming that they can buy insurance once they do get sick the republican plan seemed to allow this but the last minute revision of the senate bill adding a waiting period closes this off of course there is nothing in republican plans that would tend to reduce overall healthcare costs for decent coverage all savings come from reducing coverage one way or another"", ""i can the aca works like this force insurers to cover everything even that which you personally don't require this leads to higher costs and covers everyone equally in order for this to work for the insurers everyone must buy insurance after all this is essentially a scheme to spread the costs amongst everyone in the insured pool force of law with threat of financial penalty initially to force everyone to obey results everyone can get insurance regardless of your health good everyone save the unhealthy with pre existing high cost conditions pays more for their insurance bad also illegal this is simple theft of the healthy folks money a the young and healthy pay way way way more than they should for insurance b aca bastardizes the definition of health care and insurance in general health care is not insurance its actual care drugs etc insurance is supposed to be to cover high cost catastrophic events those evens used to be rare this current system that aca makes worse makes the routine birth of a child for example a financially extraordinary event something that cost a few hundred bucks now costs a few grand for a routine birth insurance as it is run used today makes everything more expensive i could write for a week on this point alone less access to health care more people consuming a finite resource makes that resource less available and drives up costs it don't matter if its gasoline carrots ice cream or health care this is bad nothing in the aca addresses this this is one of those reality meets fantasy moments coming in the future when no idea the insurers pharma companies big hospital groups they are all making money hand over fist aca assuming americans don't decide en masse to shrug off these chains willl just increase their profits so can anyone rationally explain how increasing costs and increasing profits of those involved will magically reduce the cost of health care just because obama or any political lackey told you that doesn't make it true""]"
7,6,27746,6_food_meat_eat_sugar,"['food', 'meat', 'eat', 'sugar', 'eating', 'diet', 'foods', 'milk', 'animals', 'fat']","[""yes isn't it interesting they're more concerned about the safety of food in other countries i never eat chicken at fast food or restaurants it's cheaper meat raised in horrible conditions"", ""and mine fell into neither of those categories but you decided to latch onto it anyway with regard to the first reason you're still wrong meat doesn't have to come from factory farms you have no idea how often any given meat eater eats meat in my family of four out of the meals a week we eat maybe two or three of them include meat that meat is bought exclusively at local farms from farmers whose names i know but that's not the point this isn't about me it's about purist vegetarians insisting that any and all reasons for eating meat are stupid selfish poor excuses and easily debunked of course it's easy to debunk something that isnt' even true in the first place if you want to talk about the average meat eater buying all their cafo meat and out of season produce at the local supermarket have at it there may be myriad reasons why someone shops this way of course but switching from such a diet to a vegetarian diet will most likely have an impact but that's neither the diet i follow myself nor the point i was trying to make"", ""i agree and the thing that always irritates me as someone who has been eating primarily vegetarian for decades is this why do people and companies assume that people who are vegetarian miss meat i don't need to eat something that tastes or doesn't taste like a hot dog or a hamburger if i missed meat that badly i'd go get some hormone free grass fed beef i just prefer not to eat meat i think the meat industry is vulgar and this is written by someone who worked on a foster farms chicken ranch for a year go to a processing plant and take the tour you may find you lose some of your taste for commercial meat""]"
8,7,24582,7_gun_guns_nra_firearms,"['gun', 'guns', 'nra', 'firearms', 'weapons', 'laws', 'militia', 'amendment', 'firearm', 'carry']","['you imply that crime is preventable because you compare gun crimes in a country with a lot of guns to gun crime in a country with few guns', 'the problem is many dems in gun states also are paid by the nra or afraid the nra will find someone more pro gun to run against them', 'chicago has hard gun laws look how many people dying under the gun laws get guns and dont be murdered']"
9,8,18837,8_science_drug_drugs_scientific,"['science', 'drug', 'drugs', 'scientific', 'pain', 'marijuana', 'tobacco', 'scientists', 'smoking', 'evolution']","['thanks be to science', 'you have something against science', 'science what do you know of science']"
