target,stance,stance_type,comment_id,comment_date
The government,FAVOR,EXPLICIT,274922660,2011-08-02 19:18:56
America / USA,FAVOR,EXPLICIT,274922660,2011-08-02 19:18:56
Social welfare,FAVOR,EXPLICIT,274922660,2011-08-02 19:18:56
Economy is good,AGAINST,EXPLICIT,274922660,2011-08-02 19:18:56
Taxes are (good | fair),FAVOR,EXPLICIT,274922660,2011-08-02 19:18:56
Capitalism,AGAINST,EXPLICIT,274922660,2011-08-02 19:18:56
The government,AGAINST,EXPLICIT,283757064,2011-08-11 20:36:20
Politicians,AGAINST,IMPLICIT,283757064,2011-08-11 20:36:20
The government,AGAINST,EXPLICIT,281473803,2011-08-09 20:09:53
America / USA,AGAINST,EXPLICIT,281473803,2011-08-09 20:09:53
Crime,AGAINST,EXPLICIT,281473803,2011-08-09 20:09:53
Military,AGAINST,EXPLICIT,281473803,2011-08-09 20:09:53
Drugs,AGAINST,EXPLICIT,281473803,2011-08-09 20:09:53
Vegetarians / Vegans,FAVOR,EXPLICIT,276524845,2011-08-03 23:56:55
Scientists,AGAINST,IMPLICIT,276524845,2011-08-03 23:56:55
Food,FAVOR,EXPLICIT,276524845,2011-08-03 23:56:55
Barack Obama,FAVOR,EXPLICIT,261748800,2011-07-23 12:05:41
Democrats,FAVOR,IMPLICIT,261748800,2011-07-23 12:05:41
Capitalism,FAVOR,IMPLICIT,261748800,2011-07-23 12:05:41
Elites,AGAINST,EXPLICIT,281119371,2011-08-09 10:52:10
Climate change is (real | a problem),FAVOR,EXPLICIT,256058688,2011-07-18 15:08:46
Fossil fuels,FAVOR,EXPLICIT,256058688,2011-07-18 15:08:46
Sport,FAVOR,EXPLICIT,260317299,2011-07-22 02:07:20
Hobbies,FAVOR,EXPLICIT,260317299,2011-07-22 02:07:20
Music,FAVOR,EXPLICIT,260317299,2011-07-22 02:07:20
Scientists,FAVOR,EXPLICIT,260317299,2011-07-22 02:07:20
Diversity,FAVOR,EXPLICIT,260317299,2011-07-22 02:07:20
The government,AGAINST,EXPLICIT,262746127,2011-07-24 12:32:46
Politicians,AGAINST,EXPLICIT,262746127,2011-07-24 12:32:46
Social welfare,AGAINST,EXPLICIT,262746127,2011-07-24 12:32:46
Jobs are (available | good),FAVOR,EXPLICIT,262746127,2011-07-24 12:32:46
Terrorism,AGAINST,EXPLICIT,273062220,2011-08-01 19:11:19
The government,AGAINST,EXPLICIT,273062220,2011-08-01 19:11:19
Diversity,AGAINST,EXPLICIT,273062220,2011-08-01 19:11:19
Social welfare,AGAINST,EXPLICIT,261038508,2011-07-22 17:02:47
Economy is good,FAVOR,EXPLICIT,261038508,2011-07-22 17:02:47
Capitalism,FAVOR,EXPLICIT,261038508,2011-07-22 17:02:47
Elites,AGAINST,EXPLICIT,282221301,2011-08-10 14:16:16
Economy is good,AGAINST,EXPLICIT,282221301,2011-08-10 14:16:16
Climate change is (real | a problem),AGAINST,EXPLICIT,263578575,2011-07-25 17:24:42
Scientists,AGAINST,EXPLICIT,263578575,2011-07-25 17:24:42
The government,AGAINST,EXPLICIT,284988227,2011-08-13 01:04:48
Politicians,AGAINST,EXPLICIT,284988227,2011-08-13 01:04:48
Elites,AGAINST,EXPLICIT,284988227,2011-08-13 01:04:48
Capitalism,AGAINST,EXPLICIT,284988227,2011-08-13 01:04:48
Climate change is (real | a problem),FAVOR,EXPLICIT,278466402,2011-08-05 17:19:28
Fossil fuels,AGAINST,EXPLICIT,278466402,2011-08-05 17:19:28
The government,AGAINST,EXPLICIT,241866973,2011-07-04 16:04:58
Barack Obama,AGAINST,EXPLICIT,241866973,2011-07-04 16:04:58
Socialism / Communism,AGAINST,EXPLICIT,241866973,2011-07-04 16:04:58
Hillary Clinton,AGAINST,EXPLICIT,241866973,2011-07-04 16:04:58
Liberals,AGAINST,EXPLICIT,241866973,2011-07-04 16:04:58
Progressives,AGAINST,EXPLICIT,241866973,2011-07-04 16:04:58
Politicians,AGAINST,EXPLICIT,241866973,2011-07-04 16:04:58
Social welfare,AGAINST,EXPLICIT,241866973,2011-07-04 16:04:58
Democrats,AGAINST,EXPLICIT,241866973,2011-07-04 16:04:58
Conservatives,FAVOR,EXPLICIT,241866973,2011-07-04 16:04:58
Israel,AGAINST,EXPLICIT,241866973,2011-07-04 16:04:58
Republicans (GOP),FAVOR,EXPLICIT,241866973,2011-07-04 16:04:58
Economy is good,AGAINST,EXPLICIT,262196211,2011-07-23 18:38:46
Capitalism,FAVOR,EXPLICIT,262196211,2011-07-23 18:38:46
Jobs are (available | good),AGAINST,EXPLICIT,262196211,2011-07-23 18:38:46
Climate change is (real | a problem),FAVOR,IMPLICIT,283525632,2011-08-11 16:08:18
Fossil fuels,AGAINST,IMPLICIT,283525632,2011-08-11 16:08:18
Hobbies,FAVOR,IMPLICIT,283525632,2011-08-11 16:08:18
Food,FAVOR,IMPLICIT,283525632,2011-08-11 16:08:18
Capitalism,AGAINST,IMPLICIT,283525632,2011-08-11 16:08:18
Jobs are (available | good),FAVOR,IMPLICIT,283525632,2011-08-11 16:08:18
The government,AGAINST,EXPLICIT,287195151,2011-08-15 18:25:43
Liberals,AGAINST,EXPLICIT,287195151,2011-08-15 18:25:43
Progressives,AGAINST,EXPLICIT,287195151,2011-08-15 18:25:43
Politicians,AGAINST,EXPLICIT,287195151,2011-08-15 18:25:43
Elites,AGAINST,EXPLICIT,287195151,2011-08-15 18:25:43
Democrats,AGAINST,EXPLICIT,287195151,2011-08-15 18:25:43
Conservatives,AGAINST,EXPLICIT,287195151,2011-08-15 18:25:43
Republicans (GOP),AGAINST,EXPLICIT,287195151,2011-08-15 18:25:43
The government,FAVOR,EXPLICIT,269449560,2011-07-30 19:01:02
America / USA,FAVOR,EXPLICIT,269449560,2011-07-30 19:01:02
The government,AGAINST,EXPLICIT,282772873,2011-08-10 21:20:32
Socialism / Communism,AGAINST,EXPLICIT,282545021,2011-08-10 18:31:37
Barack Obama,AGAINST,EXPLICIT,289677677,2011-08-18 00:53:37
America / USA,FAVOR,EXPLICIT,278258462,2011-08-05 12:15:03
Economy is good,FAVOR,IMPLICIT,278258462,2011-08-05 12:15:03
Food,FAVOR,EXPLICIT,278258462,2011-08-05 12:15:03
Capitalism,AGAINST,IMPLICIT,278258462,2011-08-05 12:15:03
Social welfare,AGAINST,EXPLICIT,280322561,2011-08-08 09:49:37
The government,AGAINST,EXPLICIT,282275494,2011-08-10 15:31:03
Liberals,AGAINST,EXPLICIT,282275494,2011-08-10 15:31:03
Elites,AGAINST,EXPLICIT,282275494,2011-08-10 15:31:03
Democrats,AGAINST,EXPLICIT,282275494,2011-08-10 15:31:03
Capitalism,AGAINST,EXPLICIT,282275494,2011-08-10 15:31:03
The government,AGAINST,EXPLICIT,282135707,2011-08-10 10:57:30
Economy is good,AGAINST,IMPLICIT,282135707,2011-08-10 10:57:30
Taxes are (good | fair),AGAINST,EXPLICIT,282135707,2011-08-10 10:57:30
The government,AGAINST,EXPLICIT,283387350,2011-08-11 11:47:27
America / USA,AGAINST,EXPLICIT,283387350,2011-08-11 11:47:27
The government,AGAINST,EXPLICIT,275989498,2011-08-03 11:34:55
America / USA,AGAINST,EXPLICIT,275989498,2011-08-03 11:34:55
Politicians,AGAINST,EXPLICIT,275989498,2011-08-03 11:34:55
Economy is good,AGAINST,EXPLICIT,275989498,2011-08-03 11:34:55
Military,AGAINST,EXPLICIT,275989498,2011-08-03 11:34:55
Taxes are (good | fair),FAVOR,EXPLICIT,275989498,2011-08-03 11:34:55
The government,AGAINST,EXPLICIT,301081766,2011-09-02 13:07:39
Barack Obama,AGAINST,EXPLICIT,301081766,2011-09-02 13:07:39
Politicians,AGAINST,EXPLICIT,301081766,2011-09-02 13:07:39
Democrats,AGAINST,EXPLICIT,301081766,2011-09-02 13:07:39
Fossil fuels,AGAINST,EXPLICIT,314624241,2011-09-19 01:28:40
Economy is good,AGAINST,EXPLICIT,314624241,2011-09-19 01:28:40
Christians,AGAINST,EXPLICIT,292404387,2011-08-21 14:25:57
Christianity,AGAINST,EXPLICIT,292404387,2011-08-21 14:25:57
Climate change is (real | a problem),AGAINST,EXPLICIT,263890729,2011-07-25 21:26:04
