target,stance,stance_type,explanation,comment_id,comment_date
Immigration / immigrants,FAVOR,EXPLICIT,"I agree with the following: Barack Obama supports Jeb Bush's stance on amnesty, indicating support for immigration policies.",2066527676,2015-06-07 15:19:21
Barack Obama,FAVOR,EXPLICIT,"I agree with the following: Barack Obama is supporting Jeb Bush on amnesty, indicating a favorable stance towards Obama's action.",2066527676,2015-06-07 15:19:21
Donald Trump,FAVOR,EXPLICIT,"I agree with the following: The comment criticizes Kevin D. Williamson for writing vile stuff about Trump, indicating support for Trump.",2526149233,2016-02-21 06:31:03
Sexism,AGAINST,EXPLICIT,"I agree with the following: The comment explicitly calls out sexism, indicating a stance against it.",2165909804,2015-07-30 20:23:19
Movies,FAVOR,EXPLICIT,"I agree with the following: The comment praises the actress's dancing in the movie, indicating a favorable stance.",2165909804,2015-07-30 20:23:19
Russia,AGAINST,EXPLICIT,"I agree with the following: The Soviet Union failed to suppress Christianity and Islam, implying criticism of the Soviet Union, which is related to Russia.",2105942914,2015-06-29 04:00:44
Christianity,FAVOR,EXPLICIT,I agree with the following: Christianity is a powerful force that survived despite suppression.,2105942914,2015-06-29 04:00:44
Socialism / Communism,AGAINST,EXPLICIT,"I agree with the following: The Soviet Union failed, implying criticism of communism.",2105942914,2015-06-29 04:00:44
Christians,FAVOR,EXPLICIT,I agree with the following: Christians' faith survived despite suppression.,2105942914,2015-06-29 04:00:44
The government,AGAINST,EXPLICIT,"I agree with the following: Faith in government is not widely followed, implying criticism.",2105942914,2015-06-29 04:00:44
Muslims,FAVOR,EXPLICIT,I agree with the following: Islam is a powerful force that survived despite suppression.,2105942914,2015-06-29 04:00:44
Islam,FAVOR,EXPLICIT,I agree with the following: Islam is a powerful force that survived despite suppression.,2105942914,2015-06-29 04:00:44
Republicans (GOP),AGAINST,EXPLICIT,"I agree with the following: The GOP leadership is criticized for supporting amnesty, indicating a negative stance towards them.",1524946721,2014-08-03 22:14:43
Immigration / immigrants,AGAINST,EXPLICIT,"I agree with the following: The comment expresses skepticism and disapproval of the deals made, particularly regarding amnesty, which relates to immigration policies.",1524946721,2014-08-03 22:14:43
Crime,AGAINST,EXPLICIT,"I agree with the following: Obama should be left in prison, implying he is guilty of a crime.",2129722739,2015-07-11 03:02:11
