target,stance,stance_type,comment_id,comment_date
Socialism / Communism,AGAINST,EXPLICIT,1539105905,2014-08-12 15:04:56
Democrats,AGAINST,IMPLICIT,1539105905,2014-08-12 15:04:56
Progressives,AGAINST,IMPLICIT,1539105905,2014-08-12 15:04:56
Liberals,AGAINST,IMPLICIT,1539105905,2014-08-12 15:04:56
Taxes are (good | fair),AGAINST,EXPLICIT,1539105905,2014-08-12 15:04:56
Economy is good,AGAINST,IMPLICIT,1539105905,2014-08-12 15:04:56
Politicians,AGAINST,IMPLICIT,1539105905,2014-08-12 15:04:56
Social welfare,AGAINST,EXPLICIT,1539105905,2014-08-12 15:04:56
Black people,AGAINST,IMPLICIT,1539105905,2014-08-12 15:04:56
Elites,AGAINST,IMPLICIT,1539105905,2014-08-12 15:04:56
The government,AGAINST,EXPLICIT,1539105905,2014-08-12 15:04:56
Woke,AGAINST,IMPLICIT,1539105905,2014-08-12 15:04:56
Diversity,AGAINST,IMPLICIT,1539105905,2014-08-12 15:04:56
Immigration / immigrants,AGAINST,EXPLICIT,1539105905,2014-08-12 15:04:56
The government,AGAINST,EXPLICIT,1486839782,2014-07-15 22:00:13
Crime,AGAINST,EXPLICIT,1486839782,2014-07-15 22:00:13
Police,AGAINST,EXPLICIT,1486839782,2014-07-15 22:00:13
America / USA,AGAINST,IMPLICIT,1486839782,2014-07-15 22:00:13
Politicians,AGAINST,EXPLICIT,1486839782,2014-07-15 22:00:13
Politicians,AGAINST,EXPLICIT,2076335574,2015-06-12 21:17:06
Democrats,AGAINST,EXPLICIT,2072033650,2015-06-10 16:20:34
Media,AGAINST,EXPLICIT,2072033650,2015-06-10 16:20:34
Journalists,AGAINST,EXPLICIT,2072033650,2015-06-10 16:20:34
Politicians,AGAINST,EXPLICIT,2072033650,2015-06-10 16:20:34
Black people,FAVOR,EXPLICIT,2072033650,2015-06-10 16:20:34
The government,AGAINST,EXPLICIT,2072033650,2015-06-10 16:20:34
Crime,AGAINST,EXPLICIT,2072033650,2015-06-10 16:20:34
Police,AGAINST,EXPLICIT,2072033650,2015-06-10 16:20:34
The government,AGAINST,EXPLICIT,2056936046,2015-06-01 21:08:42
Media,AGAINST,EXPLICIT,1531737614,2014-08-07 14:11:14
Journalists,AGAINST,EXPLICIT,1531737614,2014-08-07 14:11:14
Fascism / Nazism,AGAINST,IMPLICIT,1531737614,2014-08-07 14:11:14
Democrats,AGAINST,EXPLICIT,1574010858,2014-09-04 16:41:54
Progressives,AGAINST,EXPLICIT,1574010858,2014-09-04 16:41:54
Liberals,AGAINST,EXPLICIT,1574010858,2014-09-04 16:41:54
Barack Obama,AGAINST,EXPLICIT,1574010858,2014-09-04 16:41:54
America / USA,FAVOR,EXPLICIT,1574010858,2014-09-04 16:41:54
Politicians,AGAINST,EXPLICIT,1574010858,2014-09-04 16:41:54
Conservatives,FAVOR,EXPLICIT,1574010858,2014-09-04 16:41:54
Military,FAVOR,EXPLICIT,1574010858,2014-09-04 16:41:54
The government,AGAINST,EXPLICIT,1574010858,2014-09-04 16:41:54
Terrorism,FAVOR,EXPLICIT,1574010858,2014-09-04 16:41:54
Military,AGAINST,IMPLICIT,1582674224,2014-09-10 15:22:36
The government,AGAINST,IMPLICIT,1582674224,2014-09-10 15:22:36
Media,AGAINST,EXPLICIT,2021102163,2015-05-12 20:54:26
Barack Obama,AGAINST,EXPLICIT,2021102163,2015-05-12 20:54:26
Barack Obama,AGAINST,EXPLICIT,2050507064,2015-05-28 21:18:14
Gay / LGTBQ+,AGAINST,EXPLICIT,2050507064,2015-05-28 21:18:14
Climate change is (real | a problem),AGAINST,IMPLICIT,1466714356,2014-07-03 14:03:25
The government,AGAINST,IMPLICIT,1466714356,2014-07-03 14:03:25
Republicans (GOP),FAVOR,IMPLICIT,1582539200,2014-09-10 13:54:48
Hillary Clinton,AGAINST,IMPLICIT,1582539200,2014-09-10 13:54:48
Barack Obama,AGAINST,EXPLICIT,2014236937,2015-05-08 21:39:40
