post_idx,target,stance,explanation
0,Democrats,AGAINST,"['The comment criticizes the administration, which was Democratic at the time, for lacking standards of decency, dignity, and class.']"
0,Obama,AGAINST,"[""The comment refers to 'this administration,' which was Obama's, and criticizes it for lacking standards.""]"
3,Terrorism,AGAINST,"[""The comment mentions 'Read the Hamas Charter,' which is associated with terrorism, indicating a stance against terrorism.""]"
4,Democrats,AGAINST,"['The comment criticizes Obama and Hillary Clinton, who are Democrats, implying a negative stance.']"
4,Obama,AGAINST,"[""The comment mocks Obama's approach to ISIS, indicating a clear negative stance.""]"
4,Hillary Clinton,AGAINST,"[""The comment mocks Hillary Clinton's approach, indicating a clear negative stance.""]"
6,Democrats,AGAINST,"['The comment criticizes Obama, a Democrat, suggesting he is delusional and hopeless.']"
6,Obama,AGAINST,"[""The comment directly criticizes Obama, calling his statement 'pure delirium' and suggesting he needs 'more meds, maybe therapy.'""]"
8,White people,AGAINST,"[""The comment implies a negative stance towards white people by referencing ethnicity and race variations beginning in Germany in the early 30's, a time associated with Nazi ideology.""]"
8,Immigration / immigrants,AGAINST,"['The comment implies a critical stance towards immigration by suggesting that someone is ignorant about the realities of immigration, particularly in the context of Italy.']"
9,Immigration / immigrants,AGAINST,"['The comment suggests capturing and executing ISIS members entering the US, indicating a strict stance against immigration of such individuals.']"
9,Terrorism,AGAINST,"['The comment advocates for capturing and executing ISIS members, showing opposition to terrorism.']"
9,Islam,AGAINST,"['The comment targets ISIS, an extremist Islamic group, but does not explicitly mention Islam.']"
11,Muslims,AGAINST,"[""The comment refers to 'muslim demonstrators threatening, throwing bricks and bottles,' which implies a negative view towards Muslims.""]"
11,Police (cops),AGAINST,"[""The comment states that the police 'back down' from demonstrators, implying criticism of their actions.""]"
11,Democrats,AGAINST,"[""The comment refers to 'liberal idiots in charge,' which can be associated with Democrats, showing opposition.""]"
11,Obama,AGAINST,"[""The comment explicitly criticizes Obama, stating he 'still hasn't gotten the message.'""]"
11,Immigration / immigrants,AGAINST,"['The comment discusses migrants in a negative context, implying opposition to immigration.']"
11,Islam,AGAINST,"['The comment refers to Muslim demonstrators in a negative context, implying opposition to Islam.']"
12,Hillary Clinton,AGAINST,"[""The comment explicitly criticizes Hillary Clinton, calling her a 'lying Clinton b!tch' and a 'traitor,' indicating a strong negative stance.""]"
13,Immigration / immigrants,FAVOR,"['The comment agrees with the harsh remedy proposed for the migrant crisis, indicating support for the approach.']"
15,Muslims,AGAINST,"['The comment compares CAIR to HAMAS, a known terrorist group, implying a negative stance towards Muslims.']"
15,Democrats,AGAINST,"['The comment mentions Obama, a Democrat, in a negative context, implying a stance against Democrats.']"
15,Obama,AGAINST,"['The comment states that Obama gets advice from CAIR, which is compared to HAMAS, a terrorist group.']"
15,Terrorism,AGAINST,"['The comment compares CAIR to HAMAS, a terrorist group, implying opposition to terrorism.']"
15,Islam,AGAINST,"['The comment links CAIR to HAMAS, a terrorist group, implying a negative stance towards Islam.']"
16,Obama,AGAINST,"[""The comment uses the term 'Obama sychophant' which implies criticism and a negative stance towards Obama.""]"
17,Journalists,AGAINST,"[""The comment criticizes 'lefty news site' and 'alphabet networks,' implying bias in their reporting.""]"
17,Democrats,AGAINST,"[""The term 'lefty news site' suggests a connection to Democrats, criticizing their perceived bias.""]"
17,The press,AGAINST,"[""Criticism of 'alphabet networks' indicates a negative view of the press.""]"
17,Fake news,AGAINST,"[""Implying that 'lefty news site' spreads fake news shows opposition.""]"
18,Trump,FAVOR,"['The comment suggests that Trump will be blamed, implying a defensive stance in his favor.']"
20,Immigration / immigrants,AGAINST,"[""The comment criticizes Angela Merkel's migration policies, implying a negative stance towards immigration.""]"
21,Muslims,AGAINST,"[""The comment uses sarcasm when referring to Islam as 'the religion of peace,' implying criticism towards Muslims.""]"
21,Terrorism,AGAINST,"['The comment explicitly mentions terrorism, criticizing the actions of converts.']"
21,Islam,AGAINST,"[""The comment uses sarcasm when referring to Islam as 'the religion of peace,' implying criticism.""]"
22,Democrats,AGAINST,"[""The comment refers to mayors as 'leftist idiots,' implying a negative stance towards Democrats.""]"
