post_idx,target,stance,explanation
0,Obama,AGAINST,"The comment explicitly criticizes the administration, referring to it as having 'no standards of decency, no dignity, and no class,' indicating a clear negative stance towards Obama's administration."
3,Islam,AGAINST,"The comment refers to 'religious nuts' and mentions the 'Hamas Charter,' indicating a negative stance towards Islam, associating it with extremism."
4,Obama,AGAINST,"The comment questions Obama's effectiveness by implying doubt in his ability to remind extremists they are not Islamic, using a sarcastic tone."
4,Hillary Clinton,AGAINST,"The comment uses sarcasm when quoting Hillary's approach to understanding and empathy, suggesting weakness."
4,Democrats,AGAINST,The sarcastic tone towards understanding and empathy critiques the Democratic approach.
6,Obama,AGAINST,"The comment uses derogatory language ('Pure delirium', 'More meds, maybe therapy', 'It's likely not treatable, he's hopeless') to express a negative view of Obama."
9,Terrorism,AGAINST,"The comment explicitly advocates for the capture and execution of ISIS members, indicating a strong stance against terrorism."
10,Government spending,AGAINST,"The comment criticizes the increase in government spending by $50 billion this year and $30 billion the following year, indicating a negative stance."
10,Republicans (GOP),AGAINST,"The comment discusses internal Republican conflicts and criticism of Boehner and Ryan's actions, suggesting a negative stance towards the GOP's handling of the situation."
11,Muslims,AGAINST,"The comment describes Muslim demonstrators as threatening and violent, indicating a negative stance."
11,Police,AGAINST,"The comment criticizes the police for not stopping the demonstrators, showing disapproval."
11,Obama,AGAINST,"The comment criticizes Obama for not understanding the situation, indicating a negative stance."
11,Democrats,AGAINST,"The term 'liberal idiots' is used, which is often associated with Democrats, showing disapproval."
12,Hillary Clinton,AGAINST,"The comment explicitly uses derogatory language towards Hillary Clinton, calling her a 'lying Clinton b!tch' and implying she is a traitor, indicating a clear negative stance."
15,Obama,AGAINST,"The comment implies that Obama receives advice from CAIR, which is likened to HAMAS, suggesting a negative view of Obama."
16,Obama,AGAINST,"The comment uses the term 'Obama sychophant' which is a strong criticism, indicating a negative stance."
17,The press,AGAINST,"The comment criticizes 'lefty news site' and 'alphabet networks' for selectively featuring certain individuals, indicating a negative stance towards the press."
17,Journalists,AGAINST,"The comment implies that journalists are biased, suggesting they manipulate stories by highlighting specific individuals."
18,Trump,AGAINST,"The comment suggests that Trump will be blamed for something, indicating a negative stance towards him."
19,Islam,AGAINST,"The comment explicitly compares the individual to a historical Islamic caliph, suggesting a critical or negative stance toward Islam."
20,Immigration / immigrants,AGAINST,"The comment expresses a negative view towards immigration policies, specifically criticizing Angela Merkel's migration plan and its consequences."
21,Islam,AGAINST,"The comment sarcastically refers to Islam as 'the religion of peace' and links converts to terrorism, indicating a negative stance."
21,Terrorism,AGAINST,"The comment highlights the engagement in terrorism, showing a clear negative stance."
22,Democrats,AGAINST,"The comment refers to mayors as 'leftist idiots,' which implies a negative stance towards Democrats, who are typically associated with leftist ideologies."
22,Government spending,AGAINST,"The comment criticizes government, suggesting inefficiency or poor governance, indicating a negative stance towards government spending."
24,Democrats,AGAINST,"The comment criticizes 'the left' for not understanding appointments based on talent, indicating a negative stance towards Democrats."
24,Black people,AGAINST,"The comment implies that appointments of Black individuals like Loretta Lynch, Eric Holder, and Jeh Johnson were based on race rather than competence, suggesting a negative stance."
25,Muslims,AGAINST,"The comment refers to a 'filthy, intolerant, violent cult' which implicitly targets Muslims, given the context of the article discussing Islam. The use of strong language indicates a clear negative stance."
25,Immigration / immigrants,AGAINST,"The comment mentions the country being 'invaded' and immigrants 'draining government coffers,' showing a direct negative stance towards immigration."
26,Muslims,AGAINST,"The comment refers to 'Muslim cowards,' which explicitly shows a negative stance towards Muslims."
26,Islam,AGAINST,The comment implies a negative view of Islam by suggesting the attack reflects poorly on the religion.
27,Democrats,AGAINST,"The comment criticizes judges by implying they lack judgment due to being liberal, which is often associated with the Democratic party, suggesting a negative stance towards Democrats."
28,Democrats,AGAINST,"The comment uses the term 'ignorant liberals and progressives,' which can be associated with Democrats, indicating a negative stance."
28,Islam,AGAINST,"The term 'Civilization Jihad' implies a negative view towards Islam, suggesting opposition to Islamic influence."
29,Democrats,AGAINST,"The comment explicitly criticizes 'Lefties,' a term often used to refer to Democrats, stating they don't learn from mistakes and move on to ruin things, indicating a clear negative stance."
30,Islam,AGAINST,"The comment praises Marine Le Pen for confronting Islamism, indicating a negative stance towards Islam."
31,Democrats,AGAINST,"The comment criticizes 'leftist imbeciles running their governments,' which can be implicitly associated with Democrats, indicating a negative stance."
36,Islam,AGAINST,"The comment mentions 'hatred of any religion other than Islam,' indicating a negative stance towards Islam."
36,Christians,AGAINST,"The comment specifically mentions 'hatred of... Christianity,' showing a negative stance towards Christians."
36,America,AGAINST,"The comment states 'hatred of America,' indicating a negative stance towards America."
36,Israel,AGAINST,"The comment mentions 'hatred of Israel,' showing a negative stance towards Israel."
38,White people,AGAINST,"The comment expresses horror at the idea that white people can be part of the human experience, suggesting extreme punishment, indicating a clear negative stance."
39,Democrats,AGAINST,"The comment criticizes liberals and leftists, often associated with Democrats, implying a negative stance towards their ideologies and response to cultural changes."
39,Immigration / immigrants,AGAINST,The mention of cultural changes and defending heritage suggests a negative view towards immigration-related impacts.
40,Trump,AGAINST,"The comment questions the validity of Pakistan's 'great efforts' and suggests that if China believes in it, they should handle the financial aspect, not the U.S., implying disagreement with Trump's stance on Pakistan."
41,Fake news,AGAINST,"The comment explicitly denies any involvement with fake news and criticizes the other party for making things up, indicating a stance against fake news."
