,mean,std,cv
game50.jsonl.gz,1.0,0.0,0.0
SLJones.jsonl.gz,1.0,0.0,0.0
juliodecastrotoirac.jsonl.gz,1.0,0.0,0.0
SticksInMyCraw.jsonl.gz,1.0,0.0,0.0
JMitchellMiller.jsonl.gz,1.0,0.0,0.0
disqus_0agIE22KwH.jsonl.gz,1.0,0.0,0.0
bill_hedrick.jsonl.gz,1.0,0.0,0.0
poppypapa.jsonl.gz,1.0,0.0,0.0
cattinks.jsonl.gz,1.0,0.0,0.0
mpjt16.jsonl.gz,2.0,0.0,0.0
disqus_I9qNKgqVg0.jsonl.gz,1.0,0.0,0.0
disqus_kUPCNSXjCI.jsonl.gz,1.0,0.0,0.0
shirleykotyluk.jsonl.gz,1.0,0.0,0.0
disqus_PSNESHHRcB.jsonl.gz,1.0,0.0,0.0
spikescream.jsonl.gz,1.0,0.0,0.0
epidipnis.jsonl.gz,1.0,0.0,0.0
disqus_ol1LwSSI6y.jsonl.gz,1.0,0.0,0.0
llapace.jsonl.gz,1.0,0.0,0.0
jeffkb.jsonl.gz,1.0,0.0,0.0
TexasMad71.jsonl.gz,1.0,0.0,0.0
tomstillings.jsonl.gz,1.0,0.0,0.0
disqus_GAkpjcKzXy.jsonl.gz,1.0,0.0,0.0
vrwcmama.jsonl.gz,1.0,0.0,0.0
disqus_BhBsyIbZGp.jsonl.gz,1.0,0.0,0.0
tim_trudell.jsonl.gz,1.0,0.0,0.0
disqus_Kfsb8eRv44.jsonl.gz,1.0,0.0,0.0
disqus_1bu7Y9JuwA.jsonl.gz,1.0,0.0,0.0
zaphodsrighthead.jsonl.gz,1.0,0.0,0.0
disqus_6ME8AmZfhK.jsonl.gz,1.0,0.0,0.0
disqus_fTmiiubKJH.jsonl.gz,1.0,0.0,0.0
AllenFMackenzie.jsonl.gz,1.0,0.0,0.0
crabtown.jsonl.gz,1.0,0.0,0.0
roanoke2014.jsonl.gz,1.0,0.0,0.0
billvidak.jsonl.gz,1.0,0.0,0.0
disqus_a1mP4GnAx0.jsonl.gz,1.0,0.0,0.0
mason_colbert.jsonl.gz,1.0,0.0,0.0
sjburkhardt.jsonl.gz,1.0,0.0,0.0
Adam1776.jsonl.gz,1.0,0.0,0.0
disqus_anynBfb0X2.jsonl.gz,1.0,0.0,0.0
rickgagliano.jsonl.gz,1.0,0.0,0.0
MannyMoeJack.jsonl.gz,1.0,0.0,0.0
disqus_l5TYv6aNC6.jsonl.gz,1.0,0.0,0.0
teresarapp.jsonl.gz,1.0,0.0,0.0
disqus_kXbxEFkuTE.jsonl.gz,1.0,0.0,0.0
cinsbythesea.jsonl.gz,1.0,0.0,0.0
disqus_yGjExgRuWd.jsonl.gz,1.0,0.0,0.0
SaintMidian.jsonl.gz,1.0,0.0,0.0
srichey321.jsonl.gz,1.0,0.0,0.0
blanc122.jsonl.gz,1.0,0.0,0.0
ashley2048.jsonl.gz,1.0,0.0,0.0
raymondtjackson.jsonl.gz,1.0,0.0,0.0
disqus_LZ3QrjzfwT.jsonl.gz,1.0,0.0,0.0
chasmay1.jsonl.gz,1.0,0.0,0.0
radjapan.jsonl.gz,1.0,0.0,0.0
antwrites.jsonl.gz,1.0,0.0,0.0
amossoma.jsonl.gz,1.0,0.0,0.0
samgallo.jsonl.gz,1.0,0.0,0.0
ocdhickson.jsonl.gz,1.0,0.0,0.0
disqus_MTCYNRaq1o.jsonl.gz,1.0,0.0,0.0
ANDYV101.jsonl.gz,1.0,0.0,0.0
matthewdlutz.jsonl.gz,1.0,0.0,0.0
